repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
sci-components,thuang-fix-multiselect,https://github.com/chanzuckerberg/sci-components/pull/16,2021-03-12T21:37:57Z,2021-03-12T21:39:37Z,2,1,MERGED
sci-components,feat(component): Create Tabs,https://github.com/chanzuckerberg/sci-components/pull/15,2021-03-12T18:16:35Z,2021-03-12T18:59:06Z,1,7,MERGED
sci-components,Add flat and elevated alerts,https://github.com/chanzuckerberg/sci-components/pull/11,2021-03-11T22:28:20Z,2021-03-12T00:44:57Z,5,7,MERGED
sci-components,Thuang dropdown item multi select columns,https://github.com/chanzuckerberg/sci-components/pull/7,2021-03-10T21:55:56Z,2021-03-12T02:38:51Z,3,3,MERGED
sci-components,Thuang material UI setup,https://github.com/chanzuckerberg/sci-components/pull/1,2021-03-08T23:11:46Z,2021-03-09T17:57:13Z,5,4,MERGED
sci-components,Add List and Link,https://github.com/chanzuckerberg/sci-components/pull/19,2021-04-29T15:02:10Z,2021-04-29T18:01:21Z,3,1,MERGED
sci-components,Thuang export mixins,https://github.com/chanzuckerberg/sci-components/pull/18,2021-04-27T21:08:45Z,2021-04-27T21:43:55Z,6,4,MERGED
sci-components,thuang-tooltip-optional-arrow,https://github.com/chanzuckerberg/sci-components/pull/28,2021-05-11T21:46:17Z,2021-05-11T21:48:35Z,2,1,MERGED
sci-components,Add TooltipTable (content) and stories,https://github.com/chanzuckerberg/sci-components/pull/26,2021-05-10T22:46:48Z,2021-05-11T18:17:03Z,5,8,MERGED
sci-components,add Chips and export fontCaps mixins,https://github.com/chanzuckerberg/sci-components/pull/25,2021-05-10T19:51:20Z,2021-05-10T20:47:36Z,5,1,MERGED
sci-components,Add Tooltip,https://github.com/chanzuckerberg/sci-components/pull/21,2021-05-05T23:45:41Z,2021-05-06T21:39:06Z,3,5,MERGED
sci-components,Thuang add list and link,https://github.com/chanzuckerberg/sci-components/pull/20,2021-05-03T21:53:34Z,2021-05-03T22:45:03Z,2,6,MERGED
sci-components,[CH-148810] Implement large square Tag,https://github.com/chanzuckerberg/sci-components/pull/39,2021-07-30T00:33:48Z,2021-08-05T00:42:50Z,16,10,MERGED
sci-components,thuang-add-build-test,https://github.com/chanzuckerberg/sci-components/pull/50,2021-08-30T17:25:26Z,2021-08-30T21:49:09Z,1,1,MERGED
sci-components,[ch152396] menuitem style tweaks,https://github.com/chanzuckerberg/sci-components/pull/48,2021-08-24T00:01:03Z,2021-08-27T18:23:01Z,11,11,MERGED
sci-components,[CH-155335] Add IconFilters and IconInfoPanel,https://github.com/chanzuckerberg/sci-components/pull/47,2021-08-20T22:46:19Z,2021-08-20T23:42:27Z,1,1,MERGED
sci-components,[ch148654] minimal input,https://github.com/chanzuckerberg/sci-components/pull/46,2021-08-20T22:21:13Z,2021-08-23T17:28:08Z,3,5,MERGED
sci-components,thuang-152398-MenuSelect,https://github.com/chanzuckerberg/sci-components/pull/44,2021-08-17T23:30:07Z,2021-08-18T22:47:24Z,14,1,MERGED
