repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
connect-ui-toolkit,LITE-26563 add status component,https://github.com/cloudblue/connect-ui-toolkit/pull/29,2023-10-13T11:32:47Z,2023-10-19T14:51:11Z,2,1,MERGED
connect-ui-toolkit,Feature/lite 26678 add icon component,https://github.com/cloudblue/connect-ui-toolkit/pull/26,2023-10-04T23:19:33Z,2023-10-05T11:00:16Z,6,2,MERGED
connect-ui-toolkit,"Add ""fullWidth"" prop to the Menu widget",https://github.com/cloudblue/connect-ui-toolkit/pull/59,2024-02-27T12:54:15Z,2024-02-27T15:06:32Z,1,1,MERGED
connect-ui-toolkit,Improve Textfield widget,https://github.com/cloudblue/connect-ui-toolkit/pull/58,2024-02-27T12:25:29Z,2024-02-27T15:11:44Z,1,1,MERGED
connect-ui-toolkit,Fix view component's content display,https://github.com/cloudblue/connect-ui-toolkit/pull/53,2024-02-21T15:44:12Z,2024-02-21T16:13:27Z,1,1,MERGED
connect-ui-toolkit,Add option to show a back button to Navigation and View components,https://github.com/cloudblue/connect-ui-toolkit/pull/51,2024-02-20T10:29:04Z,2024-02-20T11:13:36Z,3,1,MERGED
connect-ui-toolkit,Add alignment options to Menu component,https://github.com/cloudblue/connect-ui-toolkit/pull/50,2024-02-20T10:16:58Z,2024-02-20T11:06:42Z,1,1,MERGED
connect-ui-toolkit,Feature/lite 29476 create menu component,https://github.com/cloudblue/connect-ui-toolkit/pull/48,2024-02-19T13:10:15Z,2024-02-19T15:09:57Z,3,2,MERGED
connect-ui-toolkit,LITE-29837: Add input validation to Textfield and Select + other fixes,https://github.com/cloudblue/connect-ui-toolkit/pull/76,2024-03-20T16:12:12Z,2024-03-20T18:04:57Z,1,1,MERGED
connect-ui-toolkit,Add storybook for complextable,https://github.com/cloudblue/connect-ui-toolkit/pull/68,2024-03-08T08:40:08Z,2024-03-08T09:11:41Z,1,1,MERGED
connect-ui-toolkit,Add status badges in README,https://github.com/cloudblue/connect-ui-toolkit/pull/65,2024-03-05T16:42:45Z,2024-03-06T13:11:28Z,1,1,MERGED
connect-ui-toolkit,Add global styles for preview,https://github.com/cloudblue/connect-ui-toolkit/pull/86,2024-04-30T09:31:26Z,2024-04-30T15:26:33Z,1,1,MERGED
connect-ui-toolkit,"Add textarea, alert and radio button",https://github.com/cloudblue/connect-ui-toolkit/pull/84,2024-04-29T14:47:17Z,2024-04-30T14:35:16Z,4,1,MERGED
connect-ui-toolkit,LITE-29964 migrate to use vitest,https://github.com/cloudblue/connect-ui-toolkit/pull/83,2024-04-19T12:43:19Z,2024-04-19T14:07:05Z,0,1,MERGED
connect-ui-toolkit,"LITE-30032: Add ""required"" prop to Select and TextField",https://github.com/cloudblue/connect-ui-toolkit/pull/81,2024-04-17T16:19:11Z,2024-04-18T07:24:48Z,1,1,MERGED
connect-ui-toolkit,Update Card component,https://github.com/cloudblue/connect-ui-toolkit/pull/79,2024-04-10T07:39:27Z,2024-04-10T08:39:13Z,1,1,MERGED
connect-ui-toolkit,Add simple dialog,https://github.com/cloudblue/connect-ui-toolkit/pull/88,2024-05-06T15:12:52Z,2024-05-08T10:41:36Z,4,1,MERGED
connect-ui-toolkit,"Delete unused icons, update story",https://github.com/cloudblue/connect-ui-toolkit/pull/96,2024-06-05T11:41:14Z,2024-06-05T14:49:06Z,1,1,MERGED
