repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
coder,feat: Add Create Workspace Form,https://github.com/coder/coder/pull/73,2022-01-26T05:21:30Z,2022-01-31T18:22:35Z,1,11,MERGED
coder,fix: Use /projects as the landing page,https://github.com/coder/coder/pull/72,2022-01-26T04:15:00Z,2022-01-26T17:16:56Z,1,2,MERGED
coder,feat: Implement simple Project Summary page,https://github.com/coder/coder/pull/71,2022-01-26T01:09:30Z,2022-01-26T03:50:31Z,2,5,MERGED
coder,feat: Initial Project Create Form ('/projects/create'),https://github.com/coder/coder/pull/60,2022-01-25T06:25:24Z,2022-01-26T00:36:27Z,2,16,MERGED
coder,feat: Initial Projects listing page,https://github.com/coder/coder/pull/58,2022-01-25T03:31:30Z,2022-01-25T15:42:00Z,3,10,MERGED
coder,fix: Login - fix /api/v2/user cache race condition,https://github.com/coder/coder/pull/47,2022-01-22T03:56:20Z,2022-01-22T20:48:38Z,2,3,MERGED
coder,feat: Add Sign-out functionality,https://github.com/coder/coder/pull/46,2022-01-22T02:11:47Z,2022-01-25T01:09:40Z,4,16,MERGED
coder,feat: Initial Login flow,https://github.com/coder/coder/pull/42,2022-01-20T20:39:45Z,2022-01-21T19:34:27Z,8,38,MERGED
coder,feat: UX - Initial create form flow,https://github.com/coder/coder/pull/33,2022-01-20T05:10:12Z,2022-01-26T00:39:26Z,14,45,CLOSED
coder,fix: Hydration warnings / mismatched styles due to SSR,https://github.com/coder/coder/pull/31,2022-01-19T05:53:08Z,2022-01-19T21:24:31Z,3,5,MERGED
coder,feat: Prototype - Stub APIs for /projects and /workspaces endpoints,https://github.com/coder/coder/pull/30,2022-01-19T05:10:25Z,2022-01-26T00:39:46Z,2,3,CLOSED
coder,feat: Bundle UI into coderd; add ./develop.sh script,https://github.com/coder/coder/pull/28,2022-01-15T01:35:30Z,2022-01-18T21:13:20Z,25,36,MERGED
coder,chore: Add XState machines to model flows,https://github.com/coder/coder/pull/16,2022-01-12T03:40:33Z,2022-02-05T10:09:40Z,5,3,CLOSED
coder,feat(cdr): Approach 3 - Initial UI (port over cdr/m components),https://github.com/coder/coder/pull/8,2022-01-06T03:37:57Z,2022-01-12T22:25:12Z,20,33,MERGED
coder,chore: Add golangci-lint and codecov,https://github.com/coder/coder/pull/3,2022-01-04T15:56:50Z,2022-01-05T14:48:56Z,0,6,MERGED
coder,refactor: Migrate from Next.js to pure webpack config,https://github.com/coder/coder/pull/360,2022-02-25T05:24:24Z,2022-03-12T20:51:06Z,25,72,MERGED
coder,refactor: Add terraform example of project with resource,https://github.com/coder/coder/pull/346,2022-02-21T22:33:43Z,2022-02-23T02:55:45Z,1,3,MERGED
coder,refactor: Workspace Page - Add section components,https://github.com/coder/coder/pull/345,2022-02-21T22:28:36Z,2022-02-22T19:10:18Z,3,2,MERGED
coder,refactor: Add a minimal example of a project with parameters,https://github.com/coder/coder/pull/331,2022-02-19T03:57:32Z,2022-02-21T17:36:31Z,2,4,MERGED
coder,feat: add caching headers for Next.js static assets,https://github.com/coder/coder/pull/330,2022-02-19T02:59:13Z,2022-02-19T03:34:56Z,3,1,MERGED
coder,feat: Login via CLI,https://github.com/coder/coder/pull/298,2022-02-16T04:16:14Z,2022-02-18T04:09:33Z,4,19,MERGED
coder,feat: Initial E2E test framework for v2,https://github.com/coder/coder/pull/288,2022-02-15T04:46:36Z,2022-03-02T17:26:54Z,13,38,MERGED
coder,"fix: Remove 'Create Project' button, replace with CLI prompt",https://github.com/coder/coder/pull/245,2022-02-11T03:42:14Z,2022-02-11T05:37:58Z,1,4,MERGED
coder,fix: Forms - Add 'escape' button / key handler in forms,https://github.com/coder/coder/pull/240,2022-02-10T01:50:10Z,2022-02-16T00:43:27Z,2,5,MERGED
coder,fix: Login - Add padding between username / password,https://github.com/coder/coder/pull/239,2022-02-10T00:16:39Z,2022-02-10T04:18:30Z,1,2,MERGED
coder,"feat: Add ""coder"" CLI",https://github.com/coder/coder/pull/221,2022-02-09T19:01:50Z,2022-02-10T14:33:27Z,19,8,MERGED
coder,feat: Initial workspaces page route + skeleton,https://github.com/coder/coder/pull/220,2022-02-09T19:01:40Z,2022-02-16T04:49:56Z,3,14,MERGED
coder,do not merge: prototyping of v2 workspaces of page,https://github.com/coder/coder/pull/219,2022-02-09T17:38:43Z,2022-02-28T19:54:10Z,2,14,CLOSED
coder,refactor: Add <CodeBlock /> component,https://github.com/coder/coder/pull/168,2022-02-05T18:45:22Z,2022-02-07T17:17:01Z,1,9,MERGED
coder,fix: Re-enable parallel run of Postgres-backed tests,https://github.com/coder/coder/pull/119,2022-02-01T04:36:31Z,2022-02-01T17:22:03Z,3,6,MERGED
coder,refactor: Add storybook + initial story,https://github.com/coder/coder/pull/118,2022-02-01T03:25:18Z,2022-02-04T16:36:58Z,2,7,MERGED
coder,fix: cancel button on create-workspace page wasn't redirecting correctly,https://github.com/coder/coder/pull/117,2022-02-01T01:43:55Z,2022-02-01T03:08:11Z,1,1,MERGED
coder,feat: Add stage to build logs,https://github.com/coder/coder/pull/577,2022-03-26T19:24:57Z,2022-03-28T18:43:22Z,10,2,MERGED
coder,feat: Add TLS support,https://github.com/coder/coder/pull/556,2022-03-24T18:29:03Z,2022-03-24T19:21:05Z,5,4,MERGED
coder,feat(site): add TimeCell component,https://github.com/coder/coder/pull/502,2022-03-20T00:36:55Z,2022-03-23T01:33:12Z,2,1,CLOSED
coder,feat(site): add ActionCell component,https://github.com/coder/coder/pull/500,2022-03-19T00:09:16Z,2022-03-23T01:33:39Z,2,4,CLOSED
coder,fix: Fix storybook blockers,https://github.com/coder/coder/pull/443,2022-03-15T18:17:01Z,2022-03-15T18:29:33Z,4,1,MERGED
coder,"fix: Update routes for project page, workspace creation page, and workspace page",https://github.com/coder/coder/pull/415,2022-03-08T22:56:23Z,2022-03-09T21:22:44Z,3,5,MERGED
coder,fix: Typo on Projects page,https://github.com/coder/coder/pull/390,2022-03-02T01:32:10Z,2022-03-02T02:08:36Z,2,1,MERGED
coder,feat: Add web terminal with reconnecting TTYs,https://github.com/coder/coder/pull/1186,2022-04-26T20:25:14Z,2022-04-29T22:30:11Z,31,8,MERGED
coder,feat: Add helper output on failed gitssh,https://github.com/coder/coder/pull/1127,2022-04-25T05:07:31Z,2022-04-25T05:29:15Z,1,1,MERGED
coder,feat: Add links for registering git key,https://github.com/coder/coder/pull/1125,2022-04-25T04:12:05Z,2022-04-25T04:27:45Z,1,1,MERGED
coder,feat: web console logo,https://github.com/coder/coder/pull/1085,2022-04-19T16:42:26Z,2022-04-19T16:48:51Z,0,1,MERGED
coder,feat: Add GitHub OAuth,https://github.com/coder/coder/pull/1050,2022-04-17T20:44:43Z,2022-04-23T22:58:57Z,17,14,MERGED
coder,feat: add footer to the login page,https://github.com/coder/coder/pull/1012,2022-04-14T19:28:20Z,2022-04-15T12:38:19Z,1,1,MERGED
coder,feat: Improve resource preview and first-time experience,https://github.com/coder/coder/pull/946,2022-04-10T21:12:51Z,2022-04-11T23:54:30Z,10,21,MERGED
coder,chore: add GitHub issue templates,https://github.com/coder/coder/pull/889,2022-04-06T16:37:46Z,2022-04-06T17:59:23Z,2,1,MERGED
coder,feat: add version to footer,https://github.com/coder/coder/pull/882,2022-04-05T23:43:34Z,2022-04-07T17:18:59Z,16,24,MERGED
coder,feat: Workspaces Page Query Filter,https://github.com/coder/coder/pull/1936,2022-05-31T23:01:47Z,2022-06-01T17:37:43Z,8,2,CLOSED
coder,feat: Prevent role changing on yourself.,https://github.com/coder/coder/pull/1931,2022-05-31T20:15:49Z,2022-05-31T20:50:38Z,1,3,MERGED
