repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
forma-36,feat(List): Added List and List Item Component,https://github.com/contentful/forma-36/pull/18,2018-11-29T15:31:09Z,2018-11-30T08:47:39Z,0,1,MERGED
forma-36,docs(Forma 36 Components): Changed the title from UI Component Librar…,https://github.com/contentful/forma-36/pull/17,2018-11-29T14:57:32Z,2018-11-30T08:38:13Z,1,1,CLOSED
forma-36,feat(BoxShadowTokens): Added box shadow tokens,https://github.com/contentful/forma-36/pull/14,2018-11-27T14:29:08Z,2018-11-29T08:43:57Z,0,1,MERGED
forma-36,Added line-height to Textarea,https://github.com/contentful/forma-36/pull/58,2019-01-28T12:31:33Z,2019-01-29T12:29:03Z,1,1,MERGED
forma-36,Fix TextInput with CopyButton margins/padding,https://github.com/contentful/forma-36/pull/55,2019-01-23T12:31:54Z,2019-01-24T12:51:23Z,0,1,MERGED
forma-36,feat(Tabs): Created Tabs component,https://github.com/contentful/forma-36/pull/93,2019-02-14T15:57:59Z,2019-02-18T16:38:29Z,3,1,MERGED
forma-36,"fix(Select,Input): Fixes a lack of background-color for Select",https://github.com/contentful/forma-36/pull/79,2019-02-11T13:15:08Z,2019-02-11T14:14:18Z,0,3,MERGED
forma-36,Improve tokens in v3,https://github.com/contentful/forma-36/pull/153,2019-03-27T15:00:19Z,2019-04-02T10:56:12Z,1,2,MERGED
forma-36,fix: 🐛 Fallback font collection of the sans,https://github.com/contentful/forma-36/pull/128,2019-03-12T16:11:02Z,2019-03-13T10:19:21Z,4,2,MERGED
forma-36,Upgrade Storybook to V5,https://github.com/contentful/forma-36/pull/120,2019-03-05T17:44:56Z,2019-03-05T19:34:35Z,0,3,MERGED
forma-36,Add switch button,https://github.com/contentful/forma-36/pull/158,2019-04-01T15:27:39Z,2019-05-20T11:06:27Z,14,1,MERGED
forma-36,Feat/resources,https://github.com/contentful/forma-36/pull/204,2019-05-22T11:45:49Z,2019-05-22T15:48:55Z,0,1,MERGED
forma-36,docs(AlphaNote): Alpha note on home splash added,https://github.com/contentful/forma-36/pull/227,2019-06-12T12:39:47Z,2019-06-13T20:31:07Z,2,1,CLOSED
forma-36,SVG Icon and README update,https://github.com/contentful/forma-36/pull/268,2019-07-24T11:31:31Z,2019-07-25T08:44:57Z,0,2,MERGED
forma-36,fix(Workbench): Align header icon with title,https://github.com/contentful/forma-36/pull/266,2019-07-23T16:03:52Z,2019-08-01T09:19:59Z,1,2,MERGED
forma-36,fix(Dropdown): Position DropdownContainer when list of options reduces,https://github.com/contentful/forma-36/pull/262,2019-07-22T14:29:38Z,2019-07-23T09:15:57Z,0,1,MERGED
forma-36,fix(Tabs): Add withDivider property,https://github.com/contentful/forma-36/pull/284,2019-08-21T13:20:16Z,2019-08-21T14:38:48Z,2,1,MERGED
forma-36,fix(Icon): Add alternative entry icon,https://github.com/contentful/forma-36/pull/310,2019-09-16T12:27:04Z,2019-09-23T15:05:08Z,1,2,CLOSED
forma-36,Make Safari's TextInput always look like a text input,https://github.com/contentful/forma-36/pull/324,2019-10-22T06:41:03Z,2019-10-29T10:00:10Z,0,1,MERGED
