repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
radiance-ui,Configure enzyme and add Icon component,https://github.com/curology/radiance-ui/pull/4,2018-10-31T21:44:58Z,2018-11-02T18:54:25Z,6,6,MERGED
radiance-ui,move breakpoints into its own constant file,https://github.com/curology/radiance-ui/pull/3,2018-10-30T23:31:11Z,2018-10-31T02:14:27Z,0,1,MERGED
radiance-ui,Add constant stories and update colors,https://github.com/curology/radiance-ui/pull/1,2018-10-30T04:04:17Z,2018-10-30T22:39:55Z,5,7,MERGED
radiance-ui,"[RadioButton] Add `<RadioButton />` component, test, story & documentation",https://github.com/curology/radiance-ui/pull/26,2018-11-28T02:53:27Z,2018-11-29T02:06:45Z,1,3,MERGED
radiance-ui,[Icons] Rename LogoCIcon and add deprecation notice,https://github.com/curology/radiance-ui/pull/23,2018-11-20T20:19:56Z,2018-11-21T00:59:55Z,0,2,MERGED
radiance-ui,[Icons] Add `NoMakeupGlyph` and `LockGlyph`,https://github.com/curology/radiance-ui/pull/22,2018-11-16T19:06:59Z,2018-11-16T22:50:45Z,0,1,MERGED
radiance-ui,[Icons] Add emoji icons,https://github.com/curology/radiance-ui/pull/19,2018-11-14T20:21:03Z,2018-11-14T21:52:16Z,2,3,MERGED
radiance-ui,Add Alert component + story + tests,https://github.com/curology/radiance-ui/pull/5,2018-11-03T05:07:22Z,2018-11-06T20:25:26Z,4,6,MERGED
radiance-ui,Modal gatsby patch,https://github.com/curology/radiance-ui/pull/46,2019-01-29T18:17:58Z,2019-01-29T18:22:18Z,0,4,MERGED
radiance-ui,Fix console warning,https://github.com/curology/radiance-ui/pull/37,2019-01-22T19:45:40Z,2019-01-22T20:53:01Z,0,2,MERGED
radiance-ui,add quinary button,https://github.com/curology/radiance-ui/pull/36,2019-01-11T22:23:33Z,2019-01-15T18:22:39Z,4,5,MERGED
radiance-ui,Checkbox,https://github.com/curology/radiance-ui/pull/35,2019-01-11T00:39:49Z,2019-01-14T22:01:01Z,6,4,MERGED
radiance-ui,VerticalDivider component,https://github.com/curology/radiance-ui/pull/59,2019-02-19T23:25:23Z,2019-03-06T01:38:29Z,4,3,CLOSED
radiance-ui,Added equals icon.,https://github.com/curology/radiance-ui/pull/58,2019-02-16T01:11:49Z,2019-03-06T18:38:22Z,0,2,MERGED
