repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
ripple-framework,feat(@dpc-sdp/ripple-ui-core): :alembic: test out event bus interface,https://github.com/dpc-sdp/ripple-framework/pull/24,2022-03-24T07:16:44Z,2022-04-01T06:09:16Z,0,1,CLOSED
ripple-framework,⚗️  component-scoped sprite sheet,https://github.com/dpc-sdp/ripple-framework/pull/32,2022-04-07T08:39:53Z,2022-04-26T04:18:08Z,2,3,CLOSED
ripple-framework,fix(@dpc-sdp/ripple-ui-core): :bug: fix icon alignment,https://github.com/dpc-sdp/ripple-framework/pull/85,2022-06-22T00:32:39Z,2022-06-22T02:57:27Z,0,1,MERGED
ripple-framework,[R20-82] - Vertical Nav,https://github.com/dpc-sdp/ripple-framework/pull/183,2022-08-23T06:49:30Z,2022-08-24T23:38:35Z,2,8,MERGED
ripple-framework,[R20-39] - Callout,https://github.com/dpc-sdp/ripple-framework/pull/163,2022-08-09T05:10:11Z,2022-08-09T23:35:39Z,3,4,MERGED
ripple-framework,[R20-276] Add outline focus state,https://github.com/dpc-sdp/ripple-framework/pull/216,2022-09-07T05:30:45Z,2022-09-09T05:34:03Z,7,10,MERGED
ripple-framework,[R20-275] Fix breadcrumb truncation on mobile,https://github.com/dpc-sdp/ripple-framework/pull/200,2022-09-01T05:17:35Z,2022-09-02T00:47:00Z,0,1,MERGED
ripple-framework,[R20-141] Publication content type,https://github.com/dpc-sdp/ripple-framework/pull/276,2022-10-21T07:09:52Z,2022-11-08T04:49:37Z,1,13,MERGED
ripple-framework,Add to content type templates,https://github.com/dpc-sdp/ripple-framework/pull/273,2022-10-19T05:51:16Z,2022-10-30T22:51:46Z,1,5,MERGED
ripple-framework,fix(@dpc-sdp/ripple-ui-core): :bug: fix horizontal scroll appearing on windows,https://github.com/dpc-sdp/ripple-framework/pull/265,2022-10-11T01:38:27Z,2022-10-11T03:26:43Z,1,2,MERGED
ripple-framework,[R20-310] update focus state and firefox fix,https://github.com/dpc-sdp/ripple-framework/pull/260,2022-10-09T22:29:33Z,2022-10-09T23:35:51Z,1,1,MERGED
ripple-framework,[R20-320] (PR #2) - Made header and layout work nicely together,https://github.com/dpc-sdp/ripple-framework/pull/250,2022-10-04T03:12:55Z,2022-10-04T06:40:25Z,2,2,MERGED
ripple-framework,[R20-72] [R20-352] [R20-95] Slider components,https://github.com/dpc-sdp/ripple-framework/pull/317,2022-11-29T03:51:56Z,2022-12-02T01:14:42Z,1,12,MERGED
ripple-framework,[R20-295] Adding error pages,https://github.com/dpc-sdp/ripple-framework/pull/314,2022-11-23T02:20:50Z,2022-11-28T21:54:30Z,4,9,MERGED
ripple-framework,[R20-142] adding news template,https://github.com/dpc-sdp/ripple-framework/pull/305,2022-11-17T03:54:43Z,2022-11-18T02:37:18Z,2,9,MERGED
