repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
ripple,[SDPA-683] Update CircleCi badge to own project,https://github.com/dpc-sdp/ripple/pull/10,2018-07-19T07:36:50Z,2018-07-20T01:24:03Z,0,1,MERGED
ripple,Feature/sdpa 865 bggraphic,https://github.com/dpc-sdp/ripple/pull/51,2018-08-30T09:45:45Z,2018-09-04T01:57:43Z,1,5,MERGED
ripple,[SDPA-835]  Search fix,https://github.com/dpc-sdp/ripple/pull/49,2018-08-30T03:50:39Z,2018-09-04T02:38:52Z,3,8,MERGED
ripple,[SDPA-750] Fixed campaign primary image on IE11.,https://github.com/dpc-sdp/ripple/pull/42,2018-08-23T06:00:08Z,2018-08-29T04:28:58Z,0,7,MERGED
ripple,[SDPA-665] Added acknowledgement to SiteFooter.,https://github.com/dpc-sdp/ripple/pull/40,2018-08-23T03:37:44Z,2018-08-31T00:13:30Z,1,3,MERGED
ripple,[SDPA-722] Fixed fonts that render as bold in Firefox.,https://github.com/dpc-sdp/ripple/pull/37,2018-08-21T02:13:15Z,2018-08-29T04:15:14Z,2,7,MERGED
ripple,Feature/sdpa 662 card navigation,https://github.com/dpc-sdp/ripple/pull/34,2018-08-17T03:36:46Z,2018-08-22T23:57:25Z,0,4,MERGED
ripple,[SDPA-731] Search updates,https://github.com/dpc-sdp/ripple/pull/30,2018-08-14T03:13:30Z,2018-08-14T04:08:57Z,1,3,MERGED
ripple,"[SDPA-775, SDPA-736] layout adjustment & hero background image",https://github.com/dpc-sdp/ripple/pull/29,2018-08-10T05:29:01Z,2018-08-28T05:28:07Z,1,7,MERGED
ripple,[SDPA-734] Added figure component to ripple.,https://github.com/dpc-sdp/ripple/pull/27,2018-08-08T03:42:54Z,2018-08-08T07:03:21Z,0,1,MERGED
ripple,Feature/sdpa 349 news listing,https://github.com/dpc-sdp/ripple/pull/26,2018-08-06T07:07:07Z,2018-08-07T00:32:45Z,0,6,MERGED
ripple,[SDPA-733] Added PublishDateAndAuthor component to ripple.,https://github.com/dpc-sdp/ripple/pull/24,2018-08-06T03:26:10Z,2018-08-06T06:29:08Z,0,4,MERGED
ripple,[SDPA-656] image gallery,https://github.com/dpc-sdp/ripple/pull/93,2018-09-27T01:35:04Z,2018-10-01T04:51:49Z,3,10,MERGED
ripple,[SDPA-905] Added new icons. Fixed colour issue on success icon.,https://github.com/dpc-sdp/ripple/pull/89,2018-09-25T06:39:05Z,2018-09-25T06:46:44Z,0,1,MERGED
ripple,[SDPA-969] Added date range to CardEvent.,https://github.com/dpc-sdp/ripple/pull/88,2018-09-25T03:20:12Z,2018-09-25T06:56:29Z,2,3,MERGED
ripple,[SDPA-971] date picker,https://github.com/dpc-sdp/ripple/pull/83,2018-09-21T07:22:08Z,2018-09-25T07:49:27Z,2,10,MERGED
ripple,[SDPA-997] Added vicpol form changes,https://github.com/dpc-sdp/ripple/pull/81,2018-09-21T03:24:11Z,2018-09-21T04:43:43Z,0,1,MERGED
ripple,[SDPA-912] Events Search Page - Ripple,https://github.com/dpc-sdp/ripple/pull/80,2018-09-20T06:08:23Z,2018-10-03T04:55:57Z,4,16,MERGED
ripple,"VICPOLWEB-437: Remove left-right padding of card title, for consisten…",https://github.com/dpc-sdp/ripple/pull/79,2018-09-19T05:22:04Z,2018-09-19T06:00:50Z,1,1,MERGED
ripple,[SDPA-942] logos for footer,https://github.com/dpc-sdp/ripple/pull/74,2018-09-17T06:30:17Z,2018-09-19T08:39:07Z,0,3,MERGED
ripple,[SDPA-939] introduction banner,https://github.com/dpc-sdp/ripple/pull/71,2018-09-16T23:54:39Z,2018-09-19T08:44:46Z,2,5,MERGED
ripple,[SDPA-918] latest events,https://github.com/dpc-sdp/ripple/pull/70,2018-09-14T04:40:05Z,2018-09-19T09:02:41Z,0,4,MERGED
ripple,Feature/sdpa 918 latest events,https://github.com/dpc-sdp/ripple/pull/69,2018-09-14T04:11:41Z,2018-09-14T04:29:50Z,0,3,CLOSED
ripple,[SDPA-856] card carousel,https://github.com/dpc-sdp/ripple/pull/68,2018-09-13T08:52:17Z,2018-09-18T00:54:22Z,3,11,MERGED
ripple,VICPOLWEB-437: Add ripple card masonry component.,https://github.com/dpc-sdp/ripple/pull/67,2018-09-13T08:13:37Z,2018-09-18T00:38:15Z,5,8,CLOSED
ripple,[SDPA-906] list,https://github.com/dpc-sdp/ripple/pull/66,2018-09-12T04:52:55Z,2018-09-18T00:46:52Z,1,4,MERGED
ripple,[SDPA-792] card cta,https://github.com/dpc-sdp/ripple/pull/65,2018-09-11T02:18:55Z,2018-09-14T02:29:37Z,0,3,MERGED
ripple,[SDPA-654] Added back to top button.,https://github.com/dpc-sdp/ripple/pull/64,2018-09-10T02:32:44Z,2018-09-11T06:37:29Z,0,4,MERGED
ripple,Feature/sdpa 722 fixed font weight firefox,https://github.com/dpc-sdp/ripple/pull/63,2018-09-06T07:39:05Z,2018-09-07T00:54:37Z,0,8,MERGED
ripple,[SDPA-614] Added LatestNewsList component.,https://github.com/dpc-sdp/ripple/pull/61,2018-09-06T01:33:30Z,2018-11-07T00:59:01Z,4,2,CLOSED
ripple,[SDPA-858] hero banner logo,https://github.com/dpc-sdp/ripple/pull/56,2018-09-03T07:05:33Z,2018-09-06T02:28:35Z,1,5,MERGED
ripple,[SDPA-868] Added background graphic to Hero Banner.,https://github.com/dpc-sdp/ripple/pull/55,2018-09-03T05:21:30Z,2018-09-04T02:46:02Z,1,2,MERGED
ripple,[SDPA-880] Removed hardcoded color in svg icon.,https://github.com/dpc-sdp/ripple/pull/52,2018-09-02T22:22:49Z,2018-09-03T07:15:54Z,0,6,MERGED
ripple,[SDPA-1014] footer logo fixed size,https://github.com/dpc-sdp/ripple/pull/114,2018-10-30T23:28:10Z,2018-11-13T00:47:01Z,0,2,CLOSED
ripple,[SDPA-1111] Update CTA card with fixed image size.,https://github.com/dpc-sdp/ripple/pull/113,2018-10-30T04:13:56Z,2018-10-30T22:42:51Z,0,1,MERGED
ripple,"[SDPA-925] Updated search icon, text and input box alignment.",https://github.com/dpc-sdp/ripple/pull/112,2018-10-30T02:01:57Z,2018-11-02T04:52:05Z,2,2,MERGED
ripple,[SDPA-1160] Updated card trimming to refresh more often.,https://github.com/dpc-sdp/ripple/pull/110,2018-10-24T03:02:19Z,2018-10-25T23:51:28Z,0,4,MERGED
ripple,[SDPA-881] Updated Figure to remove uppercase from captions.,https://github.com/dpc-sdp/ripple/pull/109,2018-10-23T00:41:52Z,2018-10-25T04:23:37Z,0,2,MERGED
ripple,v1.0.0-alpha.23,https://github.com/dpc-sdp/ripple/pull/108,2018-10-22T23:39:48Z,2018-10-23T03:39:41Z,0,3,MERGED
ripple,[SDPA-1149] Added allowBlank to Search Form. Allow empty search fields to trigger event.,https://github.com/dpc-sdp/ripple/pull/107,2018-10-22T00:32:02Z,2018-10-22T23:23:16Z,0,1,MERGED
ripple,[SDPA-1119] Removed topic from CardEvent.,https://github.com/dpc-sdp/ripple/pull/102,2018-10-16T05:55:40Z,2018-10-16T06:09:10Z,0,1,MERGED
ripple,[SDPA-986] Updated logo placement on mobile (remove offset on xs).,https://github.com/dpc-sdp/ripple/pull/101,2018-10-16T04:54:14Z,2018-10-16T05:34:56Z,1,1,CLOSED
ripple,[SDPA-636] Added Alert package and AlertBase component.,https://github.com/dpc-sdp/ripple/pull/99,2018-10-15T03:29:16Z,2018-10-16T06:14:31Z,1,5,MERGED
ripple,Feature/sdpa 973 banner padding,https://github.com/dpc-sdp/ripple/pull/98,2018-10-11T05:27:51Z,2018-10-12T02:59:24Z,0,3,MERGED
ripple,[SDPA-747] grant overview,https://github.com/dpc-sdp/ripple/pull/97,2018-10-11T03:33:20Z,2018-10-18T02:46:02Z,4,7,MERGED
ripple,Feature/sdpa 1068 card event topic theme,https://github.com/dpc-sdp/ripple/pull/96,2018-10-08T03:01:07Z,2018-10-16T04:34:05Z,0,5,MERGED
ripple,Feature/sdpa 778 quick exit,https://github.com/dpc-sdp/ripple/pull/150,2018-11-30T05:36:33Z,2018-12-06T04:19:47Z,0,6,MERGED
ripple,[SDPA-1383] Prevents document link icon from shrinking at mobile and add padding.,https://github.com/dpc-sdp/ripple/pull/148,2018-11-30T00:17:51Z,2018-11-30T05:29:03Z,0,2,MERGED
ripple,[SDPA-1382] Adds missing status to grants and cross circle icon,https://github.com/dpc-sdp/ripple/pull/147,2018-11-29T05:18:54Z,2018-11-30T05:34:58Z,1,5,MERGED
ripple,Feature/sdpa 1077 reduce breadcrumb margin,https://github.com/dpc-sdp/ripple/pull/145,2018-11-27T06:08:41Z,2018-11-28T01:11:45Z,1,3,MERGED
ripple,[SDPA-1346] Update card content to fix positioning on IE.,https://github.com/dpc-sdp/ripple/pull/143,2018-11-26T04:02:18Z,2018-11-28T01:17:40Z,0,2,MERGED
ripple,[SDPA-784] Updated anchor links to display as single column.,https://github.com/dpc-sdp/ripple/pull/141,2018-11-26T00:48:03Z,2018-11-27T02:51:35Z,0,2,MERGED
ripple,[SDPA-1023] Updated image gallery.,https://github.com/dpc-sdp/ripple/pull/140,2018-11-26T00:28:16Z,2018-11-27T03:07:21Z,0,3,MERGED
