repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
baklava,Implement Switch component,https://github.com/fortanix/baklava/pull/15,2024-11-07T16:01:00Z,2024-11-07T16:08:12Z,0,1,MERGED
baklava,Banner component update,https://github.com/fortanix/baklava/pull/78,2024-12-25T23:37:01Z,2025-01-02T17:02:44Z,7,18,MERGED
baklava,Add Storybook test runner for accessibility testing,https://github.com/fortanix/baklava/pull/74,2024-12-23T11:16:30Z,2024-12-25T23:41:02Z,1,11,MERGED
baklava,Implement Disclosure and Accordion components,https://github.com/fortanix/baklava/pull/49,2024-12-08T00:11:42Z,2024-12-23T13:43:59Z,5,13,MERGED
baklava,Fix fractional px value rounding issues,https://github.com/fortanix/baklava/pull/86,2025-01-03T21:43:00Z,2025-01-06T16:51:26Z,1,4,MERGED
baklava,Modal components update,https://github.com/fortanix/baklava/pull/85,2025-01-02T19:52:24Z,2025-01-06T22:52:59Z,4,35,MERGED
baklava,Update Dialog component,https://github.com/fortanix/baklava/pull/83,2025-01-02T17:59:53Z,2025-01-03T13:38:46Z,3,15,MERGED
baklava,"Update `Input` component (icon, actions) + implement `InputSearch`, `InputSensitive`, and `InputPassword`",https://github.com/fortanix/baklava/pull/132,2025-02-09T22:25:25Z,2025-02-11T15:14:34Z,0,9,MERGED
baklava,"Implement ""card"" variant for `Button` component",https://github.com/fortanix/baklava/pull/121,2025-02-02T15:59:04Z,2025-02-03T14:43:32Z,0,4,MERGED
baklava,Fix tooltip arrow position,https://github.com/fortanix/baklava/pull/164,2025-02-26T23:45:36Z,2025-02-27T16:12:17Z,0,1,MERGED
baklava,"Update `Input` component (icon, actions) + implement `InputSearch`, `InputSensitive`, and `InputPassword`",https://github.com/fortanix/baklava/pull/132,2025-02-09T22:25:25Z,2025-02-11T15:14:34Z,0,9,MERGED
baklava,"Implement ""card"" variant for `Button` component",https://github.com/fortanix/baklava/pull/121,2025-02-02T15:59:04Z,2025-02-03T14:43:32Z,0,4,MERGED
baklava,Add dropdown arrow to user menu,https://github.com/fortanix/baklava/pull/303,2025-05-30T13:31:21Z,2025-05-30T14:01:31Z,0,1,MERGED
baklava,(#266) Implement Static variant of ListBox item for custom static content,https://github.com/fortanix/baklava/pull/270,2025-05-26T16:54:38Z,2025-05-27T04:46:59Z,0,1,MERGED
baklava,Implement `MenuMultiProvider` + `SelectMulti` components,https://github.com/fortanix/baklava/pull/256,2025-05-23T22:44:16Z,2025-05-24T13:20:30Z,0,16,MERGED
baklava,Implement styling for `<hr>` on Card + Dialog full width flex,https://github.com/fortanix/baklava/pull/253,2025-05-22T13:43:12Z,2025-05-22T13:53:54Z,0,2,MERGED
baklava,Implement `ListBoxMulti` component,https://github.com/fortanix/baklava/pull/248,2025-05-21T21:59:27Z,2025-05-22T10:21:47Z,0,1,MERGED
baklava,Implement `TextLine` component,https://github.com/fortanix/baklava/pull/242,2025-05-20T20:34:58Z,2025-05-21T04:56:26Z,0,1,MERGED
