repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
appmap-js,Fixes nested packages appearing as only the top level package,https://github.com/getappmap/appmap-js/pull/61,2021-01-29T17:55:13Z,2021-01-29T18:39:47Z,1,4,MERGED
appmap-js,"Don't display ""empty objects"" in the component diagram",https://github.com/getappmap/appmap-js/pull/58,2021-01-28T20:46:50Z,2021-01-29T19:27:07Z,1,5,MERGED
appmap-js,Display SQL query type in details panel,https://github.com/getappmap/appmap-js/pull/36,2021-01-14T22:50:39Z,2021-01-14T22:59:50Z,1,1,MERGED
appmap-js,Format SQL code in details panel,https://github.com/getappmap/appmap-js/pull/34,2021-01-14T20:16:33Z,2021-01-14T21:49:43Z,1,1,MERGED
appmap-js,Styling and instructions,https://github.com/getappmap/appmap-js/pull/5,2021-01-11T22:41:03Z,2021-01-12T15:06:14Z,1,8,MERGED
appmap-js,Show class/function/event parents in Details panel,https://github.com/getappmap/appmap-js/pull/106,2021-02-19T21:11:39Z,2021-03-23T16:41:17Z,5,6,MERGED
appmap-js,Show class/function/event parents in Details panel,https://github.com/getappmap/appmap-js/pull/73,2021-02-10T11:17:16Z,2021-02-18T22:22:46Z,1,4,CLOSED
appmap-js,update Dependency Map & Trace naming in instructions panel,https://github.com/getappmap/appmap-js/pull/72,2021-02-09T20:21:10Z,2021-02-10T23:05:44Z,1,1,MERGED
appmap-js,Fix Flow View container size when viewing tiny appmap,https://github.com/getappmap/appmap-js/pull/70,2021-02-08T18:48:29Z,2021-02-10T23:08:40Z,1,3,MERGED
appmap-js,Optimize DOM manipulations to faster render huge amount of node connections,https://github.com/getappmap/appmap-js/pull/68,2021-02-04T19:45:25Z,2021-02-17T21:37:43Z,1,1,MERGED
appmap-js,Remove 'will-change' rule which causes rendering issue,https://github.com/getappmap/appmap-js/pull/64,2021-02-01T20:03:50Z,2021-02-04T20:17:15Z,1,2,MERGED
appmap-js,feat: display function's source code in Details panel,https://github.com/getappmap/appmap-js/pull/139,2021-03-25T21:18:54Z,2021-03-26T16:18:03Z,0,2,CLOSED
appmap-js,feat: show SQL queries as code objects in Details panel,https://github.com/getappmap/appmap-js/pull/132,2021-03-22T20:38:00Z,2021-04-12T22:04:29Z,5,3,MERGED
appmap-js,feat: Trace instructions are added,https://github.com/getappmap/appmap-js/pull/127,2021-03-17T15:41:38Z,2021-03-22T19:07:54Z,1,9,MERGED
appmap-js,feat: highlight SQL syntax in Details panel,https://github.com/getappmap/appmap-js/pull/125,2021-03-16T18:34:50Z,2021-03-18T14:38:22Z,2,2,MERGED
appmap-js,feat: search and filter objects on start screen,https://github.com/getappmap/appmap-js/pull/122,2021-03-05T00:00:26Z,2021-03-05T22:20:40Z,2,12,MERGED
appmap-js,Labels issues ,https://github.com/getappmap/appmap-js/pull/119,2021-03-01T22:56:19Z,2021-03-02T16:18:27Z,1,6,MERGED
appmap-js,feat: show labels as cloud tags,https://github.com/getappmap/appmap-js/pull/194,2021-04-30T18:11:49Z,2021-04-30T18:31:11Z,0,1,MERGED
appmap-js,fix: prevent word wrapping in tab buttons,https://github.com/getappmap/appmap-js/pull/193,2021-04-30T16:29:59Z,2021-04-30T18:27:53Z,0,1,MERGED
appmap-js,fix: use package color from Dependency Map in search panel packages list,https://github.com/getappmap/appmap-js/pull/192,2021-04-30T16:19:02Z,2021-04-30T18:24:53Z,0,1,MERGED
appmap-js,fix: display HTTP server response status in 'status' property,https://github.com/getappmap/appmap-js/pull/184,2021-04-26T15:45:16Z,2021-04-26T18:46:25Z,2,2,MERGED
appmap-js,fix: Use highlight.js instead of sql-highlight,https://github.com/getappmap/appmap-js/pull/181,2021-04-23T15:59:18Z,2021-04-26T18:11:27Z,1,1,MERGED
appmap-js,feat: Notification bar,https://github.com/getappmap/appmap-js/pull/180,2021-04-23T15:05:25Z,2021-04-23T22:15:16Z,1,2,MERGED
appmap-js,feat: view event in Trace from function events list,https://github.com/getappmap/appmap-js/pull/168,2021-04-19T10:27:33Z,2021-04-22T18:32:21Z,4,5,MERGED
appmap-js,feat: show pair of 'from' and 'to' objects when clicking on edge,https://github.com/getappmap/appmap-js/pull/166,2021-04-16T15:52:39Z,2021-04-20T19:47:08Z,1,4,MERGED
appmap-js,fix: cut long label when package is expanded,https://github.com/getappmap/appmap-js/pull/164,2021-04-15T23:13:47Z,2021-04-22T19:07:37Z,3,3,MERGED
appmap-js,feat: styles for panel scrollbar,https://github.com/getappmap/appmap-js/pull/163,2021-04-14T21:58:24Z,2021-04-19T17:39:38Z,1,1,MERGED
appmap-js,Feature/resizable panel,https://github.com/getappmap/appmap-js/pull/158,2021-04-12T22:01:46Z,2021-04-12T22:26:37Z,1,1,MERGED
appmap-js,feat: expand/collapse packages with single click on icon,https://github.com/getappmap/appmap-js/pull/156,2021-04-09T21:14:18Z,2021-04-12T21:31:19Z,1,2,MERGED
appmap-js,Edit lists styling in instructions,https://github.com/getappmap/appmap-js/pull/154,2021-04-09T12:50:18Z,2021-04-12T17:48:50Z,1,3,MERGED
appmap-js,fix: trace lines rendered with CSS,https://github.com/getappmap/appmap-js/pull/228,2021-05-25T21:01:55Z,2021-06-02T21:19:05Z,0,3,MERGED
appmap-js,feat: global filters,https://github.com/getappmap/appmap-js/pull/217,2021-05-18T21:25:34Z,2021-08-17T18:30:23Z,20,2,MERGED
