repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
grommet,Collpasible: fix to allow nested collapsible elements. ,https://github.com/grommet/grommet/pull/2176,2018-08-15T21:48:31Z,2018-08-16T16:48:28Z,0,2,MERGED
grommet,Accordion - removing children requirement,https://github.com/grommet/grommet/pull/2507,2018-11-30T06:45:05Z,2018-11-30T17:22:09Z,3,1,MERGED
grommet,Makes Select.options an array,https://github.com/grommet/grommet/pull/2622,2019-01-02T06:23:28Z,2019-01-17T15:49:39Z,3,1,CLOSED
grommet,FormField regexp validation issue,https://github.com/grommet/grommet/pull/2813,2019-02-21T19:31:03Z,2019-02-25T19:20:23Z,3,1,MERGED
grommet,fixes button extend,https://github.com/grommet/grommet/pull/2970,2019-03-22T21:44:19Z,2019-03-26T01:03:54Z,0,1,MERGED
grommet,Fix custom rangeInput on Edge,https://github.com/grommet/grommet/pull/2957,2019-03-21T01:29:30Z,2019-03-21T21:22:01Z,0,2,MERGED
grommet,Changed diagram story to remove swastika,https://github.com/grommet/grommet/pull/2939,2019-03-18T12:41:30Z,2019-03-18T17:01:09Z,2,1,MERGED
grommet,Calendar - adding optional content,https://github.com/grommet/grommet/pull/2929,2019-03-15T01:02:56Z,2019-03-18T19:53:41Z,3,3,CLOSED
grommet,Update storybook and add theme,https://github.com/grommet/grommet/pull/2925,2019-03-14T10:59:17Z,2019-03-18T17:03:35Z,3,3,MERGED
grommet,Added support for custom drop overflow.,https://github.com/grommet/grommet/pull/2923,2019-03-14T01:21:56Z,2019-03-20T00:19:32Z,4,3,MERGED
grommet,Button - fix padding of icon on plain,https://github.com/grommet/grommet/pull/2905,2019-03-11T05:44:34Z,2019-03-15T16:50:22Z,4,5,MERGED
grommet,"Grommet component to allow css vars, fixes #2582",https://github.com/grommet/grommet/pull/2862,2019-03-01T03:16:21Z,2019-03-01T17:17:30Z,2,3,MERGED
grommet,fix font-family on generic input styles,https://github.com/grommet/grommet/pull/3040,2019-04-22T17:55:01Z,2019-04-29T14:25:40Z,1,1,MERGED
grommet,[WIP] Grommet box primitives INITIAL WIP - DO NOT MERGE,https://github.com/grommet/grommet/pull/3029,2019-04-18T06:24:51Z,2020-08-25T18:03:29Z,5,12,CLOSED
grommet,Design Enhancement - Changed the order of add and subtract button on the date time widget for complete aesthetic and user centered design reason,https://github.com/grommet/grommet/pull/3002,2019-04-06T07:38:27Z,2019-05-02T16:51:40Z,2,3,CLOSED
grommet,Design Enhancement - Changed the order of add and subtract button on the date time widget for complete aesthetic design reasons. ,https://github.com/grommet/grommet/pull/3001,2019-04-06T06:47:51Z,2019-04-06T06:49:23Z,0,105,CLOSED
grommet,Make target optional for Drop typescript type,https://github.com/grommet/grommet/pull/3100,2019-05-11T20:35:52Z,2019-05-11T23:26:03Z,2,1,MERGED
grommet,Remove FocusedContainer from DropContainer,https://github.com/grommet/grommet/pull/3085,2019-05-06T16:38:03Z,2019-05-28T14:29:32Z,8,1,CLOSED
grommet,fix: modify implementation of parseMetricToNum mixin,https://github.com/grommet/grommet/pull/3149,2019-06-08T17:29:26Z,2019-06-12T09:49:39Z,8,1,MERGED
grommet,Enhance 3123 - Ability to change hover color on select and masked input options,https://github.com/grommet/grommet/pull/3192,2019-07-09T17:10:28Z,2019-08-08T19:51:47Z,12,15,MERGED
grommet,fix: modfiy radiobuttongroup component to retain focus,https://github.com/grommet/grommet/pull/3189,2019-07-07T01:35:14Z,2019-07-10T16:23:31Z,5,1,CLOSED
grommet,fix(RangeSelector): fixes mouseup event handler cleanup,https://github.com/grommet/grommet/pull/3244,2019-08-03T09:06:01Z,2019-08-05T18:00:53Z,2,1,MERGED
grommet,Add an option to show a checkmark when Checkbox toggled,https://github.com/grommet/grommet/pull/3378,2019-09-26T11:20:50Z,2020-03-17T16:53:38Z,5,1,CLOSED
grommet,Display table caption,https://github.com/grommet/grommet/pull/3348,2019-09-14T14:29:03Z,2019-10-22T20:24:00Z,3,2,MERGED
grommet,Added Chromatic for Visual Testings,https://github.com/grommet/grommet/pull/3345,2019-09-13T04:55:30Z,2019-10-03T18:58:33Z,2,11,MERGED
grommet,Added FileInput,https://github.com/grommet/grommet/pull/3325,2019-09-05T12:48:30Z,2021-02-17T17:32:02Z,62,45,MERGED
grommet,Changed circleci to accommodate chromatic changes,https://github.com/grommet/grommet/pull/3513,2019-10-30T22:33:15Z,2019-10-30T22:47:16Z,0,1,MERGED
grommet,Typescript enforcement on storybook,https://github.com/grommet/grommet/pull/3510,2019-10-30T03:19:48Z,2019-10-30T17:02:05Z,1,5,MERGED
grommet,Refine theme typing,https://github.com/grommet/grommet/pull/3486,2019-10-21T22:45:38Z,2019-10-21T23:28:55Z,4,2,MERGED
grommet,storybook config and theme refinement ,https://github.com/grommet/grommet/pull/3485,2019-10-21T16:29:29Z,2019-10-21T20:03:10Z,1,5,MERGED
grommet,Creating image links #3186,https://github.com/grommet/grommet/pull/3443,2019-10-08T15:21:02Z,2019-11-22T23:48:02Z,29,18,MERGED
grommet,Refactor carousel,https://github.com/grommet/grommet/pull/3442,2019-10-08T10:04:58Z,2020-03-16T16:10:27Z,7,4,CLOSED
grommet,Added functionality to handle new searched value,https://github.com/grommet/grommet/pull/3430,2019-10-06T11:29:47Z,2020-10-05T17:04:26Z,9,4,CLOSED
grommet,CircleCi - removing dependency from environment variables,https://github.com/grommet/grommet/pull/3407,2019-10-03T21:34:53Z,2019-10-03T21:52:46Z,0,1,MERGED
grommet,update node container for the build process,https://github.com/grommet/grommet/pull/3405,2019-10-03T20:37:43Z,2019-10-23T16:46:46Z,0,2,MERGED
grommet,Fix prop type for 'replace' in DataTable to be bool and not a func,https://github.com/grommet/grommet/pull/3388,2019-10-01T16:23:45Z,2019-10-01T20:43:36Z,1,1,MERGED
grommet,Suggestions should have the same rendering when receiving Object[] of string[],https://github.com/grommet/grommet/pull/3385,2019-10-01T14:35:19Z,2019-10-01T14:44:21Z,0,1,CLOSED
grommet,Fix duplicate story names,https://github.com/grommet/grommet/pull/3618,2019-12-12T23:19:38Z,2019-12-12T23:34:20Z,3,4,MERGED
grommet,Fix click respond outside of visible area in checkbox and radiobutton,https://github.com/grommet/grommet/pull/3616,2019-12-12T15:47:10Z,2019-12-18T15:05:21Z,7,4,MERGED
grommet,restore focus to provided ref and tests,https://github.com/grommet/grommet/pull/3699,2020-01-29T16:52:51Z,2020-01-30T18:29:31Z,3,4,MERGED
