repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
gateway,Update reset password page design,https://github.com/guardian/gateway/pull/7,2020-05-26T14:47:03Z,2020-05-27T08:52:59Z,0,1,MERGED
gateway,Add Consents Management Platform,https://github.com/guardian/gateway/pull/15,2020-06-26T11:18:48Z,2020-06-30T14:19:11Z,0,7,MERGED
gateway,Design Changes,https://github.com/guardian/gateway/pull/10,2020-06-16T13:30:09Z,2020-06-22T10:35:25Z,0,14,MERGED
gateway,Reset Password Change Page,https://github.com/guardian/gateway/pull/8,2020-06-05T11:22:12Z,2020-06-09T08:07:54Z,0,7,MERGED
gateway,Newsletters page,https://github.com/guardian/gateway/pull/30,2020-08-21T11:14:25Z,2020-09-04T13:12:58Z,1,17,MERGED
gateway,Consents | Communication Page,https://github.com/guardian/gateway/pull/28,2020-08-17T11:06:33Z,2020-08-25T08:13:55Z,2,12,MERGED
gateway,Consents | Review Page,https://github.com/guardian/gateway/pull/33,2020-09-02T10:20:54Z,2020-09-04T14:20:28Z,0,7,MERGED
gateway,Geolocated Newsletters,https://github.com/guardian/gateway/pull/57,2020-10-20T13:09:51Z,2020-10-27T11:28:11Z,0,5,MERGED
gateway,Password eye,https://github.com/guardian/gateway/pull/53,2020-10-15T16:41:49Z,2020-11-06T09:52:34Z,2,13,CLOSED
gateway,Password reset validation,https://github.com/guardian/gateway/pull/52,2020-10-15T13:18:01Z,2020-11-06T09:52:25Z,14,3,CLOSED
gateway,Onboarding | Newsletter Changes,https://github.com/guardian/gateway/pull/46,2020-10-13T08:56:01Z,2020-10-13T09:20:18Z,0,1,MERGED
gateway,Onboarding | Design Review Changes,https://github.com/guardian/gateway/pull/45,2020-10-12T13:10:47Z,2020-10-14T09:46:02Z,1,18,MERGED
gateway,AB Test: One consent card on communications page.,https://github.com/guardian/gateway/pull/133,2020-12-14T11:39:07Z,2020-12-17T11:24:45Z,3,11,MERGED
gateway,Implement breached password validation on password reset,https://github.com/guardian/gateway/pull/123,2020-12-04T16:27:28Z,2020-12-21T09:34:29Z,8,5,MERGED
gateway,Enhanced Consent AB Test,https://github.com/guardian/gateway/pull/187,2021-01-21T16:29:57Z,2021-02-11T12:13:23Z,3,32,MERGED
gateway,handle uncaught errors in gateway to avoid tcp connection leaks,https://github.com/guardian/gateway/pull/143,2021-01-05T13:57:04Z,2021-01-11T15:05:01Z,3,2,MERGED
gateway,AB Test: Follow on consent,https://github.com/guardian/gateway/pull/369,2021-03-18T09:21:55Z,2021-03-30T09:24:09Z,4,32,MERGED
gateway,AB Test | Single Newsletter Test,https://github.com/guardian/gateway/pull/431,2021-04-09T10:26:07Z,2021-04-19T13:07:52Z,6,10,MERGED
gateway,Use `Nav`,https://github.com/guardian/gateway/pull/581,2021-05-27T08:26:51Z,2021-05-27T09:22:20Z,1,2,MERGED
gateway,Signin visual elements,https://github.com/guardian/gateway/pull/580,2021-05-27T08:12:16Z,2021-05-27T08:18:06Z,1,2,MERGED
gateway,Subdued `Link`s,https://github.com/guardian/gateway/pull/579,2021-05-26T11:29:04Z,2021-05-26T12:43:41Z,0,2,MERGED
gateway,Refactor `Footer`,https://github.com/guardian/gateway/pull/576,2021-05-25T11:31:08Z,2021-05-26T16:20:24Z,2,10,MERGED
gateway,`Nav`,https://github.com/guardian/gateway/pull/575,2021-05-24T14:28:45Z,2021-05-25T13:57:44Z,1,6,MERGED
gateway,Registration page (visual only),https://github.com/guardian/gateway/pull/559,2021-05-21T13:25:30Z,2021-05-21T16:38:40Z,1,12,MERGED
gateway,Use the logo in the `Header`,https://github.com/guardian/gateway/pull/558,2021-05-21T10:49:01Z,2021-05-21T12:27:02Z,1,3,MERGED
gateway,Social Borders,https://github.com/guardian/gateway/pull/557,2021-05-21T08:51:56Z,2021-05-21T09:03:06Z,0,1,MERGED
gateway,Social positioning,https://github.com/guardian/gateway/pull/555,2021-05-19T14:44:28Z,2021-05-21T07:59:17Z,0,1,MERGED
gateway,New Terms,https://github.com/guardian/gateway/pull/554,2021-05-19T14:27:01Z,2021-05-21T10:50:59Z,0,2,MERGED
gateway,`SocialButtons`,https://github.com/guardian/gateway/pull/553,2021-05-19T08:38:46Z,2021-05-19T11:17:30Z,1,2,MERGED
gateway,Fullscreen stories,https://github.com/guardian/gateway/pull/551,2021-05-19T07:46:24Z,2021-05-19T07:49:28Z,0,1,MERGED
gateway,Terms,https://github.com/guardian/gateway/pull/533,2021-05-14T08:43:52Z,2021-05-18T15:53:02Z,4,3,MERGED
gateway,`Divider`,https://github.com/guardian/gateway/pull/531,2021-05-12T16:38:07Z,2021-05-13T07:50:15Z,1,1,MERGED
gateway,Base css for Storybook,https://github.com/guardian/gateway/pull/528,2021-05-12T08:28:04Z,2021-05-12T11:08:41Z,2,1,MERGED
gateway,NotFound story,https://github.com/guardian/gateway/pull/491,2021-05-04T16:34:12Z,2021-05-05T09:08:28Z,1,5,MERGED
gateway,`ErrorSummary` Component + Guardian fonts in Storybook,https://github.com/guardian/gateway/pull/702,2021-06-30T10:27:42Z,2021-06-30T11:21:35Z,1,4,MERGED
gateway,New designs for emails,https://github.com/guardian/gateway/pull/699,2021-06-29T15:40:32Z,2021-07-01T08:54:02Z,2,8,MERGED
gateway,`ResetPassword` Email template,https://github.com/guardian/gateway/pull/698,2021-06-29T12:50:46Z,2021-07-01T08:18:00Z,1,19,MERGED
gateway,`Container`,https://github.com/guardian/gateway/pull/660,2021-06-22T10:53:32Z,2021-06-23T14:58:52Z,1,3,MERGED
gateway,Source v3.7.0,https://github.com/guardian/gateway/pull/652,2021-06-21T12:16:30Z,2021-06-21T13:52:27Z,3,4,MERGED
gateway,Magic Linking,https://github.com/guardian/gateway/pull/639,2021-06-16T10:34:03Z,2021-06-17T08:40:20Z,0,2,MERGED
gateway,Authentication with Okta,https://github.com/guardian/gateway/pull/638,2021-06-15T10:45:57Z,2022-01-25T11:08:30Z,44,67,CLOSED
gateway,Use `Container` for `SubHeader`,https://github.com/guardian/gateway/pull/634,2021-06-14T11:32:58Z,2021-06-14T12:53:08Z,0,2,MERGED
