repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
beam,feat: SuperDrawer Component,https://github.com/homebound-team/beam/pull/61,2021-04-29T21:47:05Z,2021-05-12T13:18:11Z,51,28,MERGED
beam,feat: Compact button groups,https://github.com/homebound-team/beam/pull/59,2021-04-26T19:51:43Z,2021-04-27T22:41:36Z,4,5,MERGED
beam,feat: Switch & SwitchGroup Component,https://github.com/homebound-team/beam/pull/44,2021-04-02T01:37:37Z,2021-04-12T16:58:39Z,22,10,MERGED
beam,fix: Change certain form components to have a maxWidth of 550px,https://github.com/homebound-team/beam/pull/88,2021-05-27T19:52:14Z,2021-06-01T18:14:46Z,14,9,MERGED
beam,feat: Add GridStyle.firstCellCss + card style,https://github.com/homebound-team/beam/pull/124,2021-06-19T16:51:25Z,2021-06-22T15:09:00Z,3,10,MERGED
beam,"feat: Add StaticField, StaticLinkField from procurement.",https://github.com/homebound-team/beam/pull/196,2021-07-28T17:39:10Z,2021-08-03T15:05:45Z,1,2,MERGED
beam,"fix: Fix date field width, match others.",https://github.com/homebound-team/beam/pull/179,2021-07-16T22:01:05Z,2021-07-19T18:08:15Z,1,1,MERGED
beam,feat: Add titleRightContent to use SuperDrawer.,https://github.com/homebound-team/beam/pull/156,2021-07-05T14:17:29Z,2021-07-06T17:07:21Z,4,3,MERGED
beam,feat: Add Pill as a read-only version of chip.,https://github.com/homebound-team/beam/pull/151,2021-07-01T13:00:45Z,2021-07-01T22:15:05Z,6,5,MERGED
beam,fix: Add Create Portal to Tooltip component,https://github.com/homebound-team/beam/pull/254,2021-08-24T13:31:33Z,2021-08-24T14:50:46Z,7,3,MERGED
beam,feat: GridTable - Schedules Table Enhancements,https://github.com/homebound-team/beam/pull/314,2021-09-21T17:46:36Z,2021-10-19T14:21:21Z,16,15,MERGED
beam,feat: Allow non-card kinds in nested cards.,https://github.com/homebound-team/beam/pull/291,2021-09-12T17:54:21Z,2021-09-13T18:20:28Z,5,5,MERGED
beam,feat: Nested cards,https://github.com/homebound-team/beam/pull/281,2021-09-06T13:57:54Z,2021-09-10T18:52:50Z,19,36,MERGED
beam,fix: SelectFields should update options when props change,https://github.com/homebound-team/beam/pull/419,2021-12-22T21:24:30Z,2022-01-10T18:47:11Z,23,9,MERGED
beam,perf: Fix regression caused by style change,https://github.com/homebound-team/beam/pull/412,2021-12-18T00:26:55Z,2021-12-20T14:13:05Z,3,2,MERGED
beam,perf: [SC-10418] grid row memo fix,https://github.com/homebound-team/beam/pull/403,2021-12-13T14:30:18Z,2021-12-13T15:41:54Z,13,11,MERGED
beam,fix: Performance improvements for ChipSelectField,https://github.com/homebound-team/beam/pull/397,2021-12-07T20:57:38Z,2021-12-08T15:43:49Z,8,2,MERGED
beam,perf: no JSX in visitRows => 100x improvement,https://github.com/homebound-team/beam/pull/396,2021-12-07T09:32:28Z,2021-12-07T14:54:41Z,4,6,MERGED
beam,POC - Unsorted Table,https://github.com/homebound-team/beam/pull/389,2021-12-02T16:01:02Z,2022-09-28T01:35:52Z,1,1,CLOSED
beam,fix: Remove 'overflow: overlay' as it can sit on top of padding/content,https://github.com/homebound-team/beam/pull/457,2022-02-18T18:08:38Z,2022-02-18T18:57:33Z,1,1,MERGED
beam,fix: Nested GridTable leaf cards draw their own borders,https://github.com/homebound-team/beam/pull/444,2022-02-04T17:52:25Z,2022-02-08T16:06:58Z,8,2,MERGED
beam,chore(grid-table): fallback message styling,https://github.com/homebound-team/beam/pull/484,2022-03-25T19:21:23Z,2022-03-28T19:57:21Z,1,1,MERGED
beam,fix: Restyle 'borderless' textfields so the content of the field vertically aligns with non-textfield content,https://github.com/homebound-team/beam/pull/518,2022-04-28T16:54:01Z,2022-04-28T17:11:59Z,2,1,MERGED
beam,feat: add NavLink side contrast variant,https://github.com/homebound-team/beam/pull/566,2022-06-22T21:36:11Z,2022-06-28T13:14:04Z,5,1,MERGED
beam,feat: add buildingHouse icon required for SC-17566,https://github.com/homebound-team/beam/pull/565,2022-06-21T22:39:45Z,2022-06-22T00:46:40Z,2,1,MERGED
beam,fix: 'Today' bgColor should be overwritten if 'selected',https://github.com/homebound-team/beam/pull/559,2022-06-13T16:44:33Z,2022-06-13T16:47:04Z,1,1,MERGED
beam,feat: Sc 13020/dev auto save notification component,https://github.com/homebound-team/beam/pull/550,2022-06-03T20:57:11Z,2022-06-09T00:17:20Z,9,11,MERGED
beam,feat: add type to chip,https://github.com/homebound-team/beam/pull/608,2022-07-26T17:24:07Z,2022-07-27T21:16:12Z,5,4,MERGED
beam,feat(bound-select-field): dirty indicator,https://github.com/homebound-team/beam/pull/604,2022-07-21T21:10:19Z,2023-01-06T23:39:02Z,4,1,CLOSED
beam,feat: handle disabled selections,https://github.com/homebound-team/beam/pull/586,2022-07-08T19:41:31Z,2022-07-08T20:28:13Z,2,1,MERGED
beam,feat: [SC-19452] Chip custom title support,https://github.com/homebound-team/beam/pull/636,2022-08-30T20:09:51Z,2022-08-30T20:34:14Z,2,1,MERGED
beam,feat: add outline-flag icon,https://github.com/homebound-team/beam/pull/618,2022-08-10T22:20:00Z,2022-08-11T20:29:42Z,3,3,MERGED
beam,feat: SC-20110 - Add filter and column icons to beam,https://github.com/homebound-team/beam/pull/617,2022-08-09T21:39:31Z,2022-08-15T15:13:22Z,6,10,MERGED
beam,feat: Added flag icon,https://github.com/homebound-team/beam/pull/615,2022-08-09T15:26:43Z,2022-08-09T16:23:10Z,2,1,MERGED
beam,feat: Homebound Loading Spinner,https://github.com/homebound-team/beam/pull/666,2022-09-30T02:34:28Z,2022-10-04T18:34:17Z,10,11,MERGED
beam,feat: (SC-18433) Edit columns button component,https://github.com/homebound-team/beam/pull/665,2022-09-29T21:33:54Z,2022-10-05T14:53:31Z,45,14,MERGED
beam,feat: create `ToggleButton`,https://github.com/homebound-team/beam/pull/648,2022-09-14T18:01:03Z,2022-09-15T00:49:53Z,10,6,MERGED
beam,feat: SC-19444 cell highlighting,https://github.com/homebound-team/beam/pull/643,2022-09-07T19:02:46Z,2022-09-14T00:13:09Z,26,4,MERGED
beam,feat: Sc-19444 active cell,https://github.com/homebound-team/beam/pull/641,2022-09-06T22:12:47Z,2022-09-07T20:03:38Z,3,2,CLOSED
beam,feat: add Icon to Tags (sc-22870),https://github.com/homebound-team/beam/pull/713,2022-10-31T23:55:22Z,2022-11-01T18:40:14Z,5,5,MERGED
beam,feat: (SC-22763) Update button modal,https://github.com/homebound-team/beam/pull/712,2022-10-31T19:46:01Z,2022-11-02T19:28:17Z,11,13,MERGED
beam,"feat: add leaf, floorPlan, chair and bolt icons, variant and hideEndAdornment props on buttonModal",https://github.com/homebound-team/beam/pull/708,2022-10-28T20:55:54Z,2022-10-28T21:17:50Z,4,2,MERGED
beam,feat: Add omitErrorMessage on textField Base to hide the error message,https://github.com/homebound-team/beam/pull/702,2022-10-25T21:23:58Z,2022-10-26T15:09:49Z,5,7,MERGED
beam,feat: Add bxArrowIcons,https://github.com/homebound-team/beam/pull/696,2022-10-21T21:46:03Z,2022-10-24T17:52:52Z,4,4,MERGED
beam,feat: SC-23021 Add Customize icon,https://github.com/homebound-team/beam/pull/693,2022-10-20T22:08:35Z,2022-10-21T14:07:54Z,2,1,MERGED
beam,feat: New contextual modal,https://github.com/homebound-team/beam/pull/692,2022-10-20T19:56:22Z,2022-10-25T18:20:22Z,18,10,MERGED
beam,feat: SC-22792 Add menu icon,https://github.com/homebound-team/beam/pull/687,2022-10-17T21:50:14Z,2022-10-18T00:48:49Z,2,1,MERGED
beam,feat: Add product catalog icons,https://github.com/homebound-team/beam/pull/686,2022-10-17T19:56:07Z,2022-10-17T20:54:14Z,1,1,MERGED
beam,feat: SC-24131 Expand/Collapse icons,https://github.com/homebound-team/beam/pull/740,2022-11-28T17:50:21Z,2022-11-28T18:05:53Z,2,1,MERGED
beam,feat: Optional disabled select value tooltips,https://github.com/homebound-team/beam/pull/739,2022-11-23T21:58:24Z,2022-11-29T19:12:36Z,4,7,MERGED
beam,feat: (SC-25686) Hack Day - new label property to CollapseToggle #715,https://github.com/homebound-team/beam/pull/735,2022-11-18T17:45:06Z,2022-11-30T21:36:09Z,3,3,CLOSED
beam,fix: position and z-index of a tooltip on a ButtonModal Component,https://github.com/homebound-team/beam/pull/731,2022-11-15T16:24:56Z,2022-11-15T17:23:43Z,3,4,MERGED
beam,feat: [SC-24998]  Create number range filter type,https://github.com/homebound-team/beam/pull/727,2022-11-12T01:12:44Z,2022-11-14T20:33:21Z,5,12,MERGED
beam,feat: Add borderless to NumberField,https://github.com/homebound-team/beam/pull/723,2022-11-10T13:28:56Z,2022-11-10T13:42:13Z,2,3,MERGED
beam,fix: [SC-24684]  Removing error styles on disabled inputs,https://github.com/homebound-team/beam/pull/722,2022-11-09T18:46:45Z,2022-11-09T18:51:07Z,2,3,MERGED
beam,feat: StaticField Label has the ability to show ReactNode,https://github.com/homebound-team/beam/pull/716,2022-11-02T17:26:01Z,2022-11-02T17:33:10Z,2,1,MERGED
beam,feat: (SC-24529) Add toggleCollapse to GridTableApi,https://github.com/homebound-team/beam/pull/715,2022-11-02T14:32:54Z,2022-11-02T15:54:36Z,4,2,MERGED
beam,feat: ReactNode as Button labels,https://github.com/homebound-team/beam/pull/772,2022-12-17T02:12:52Z,2022-12-19T23:30:47Z,1,4,MERGED
beam,fix: update styles for required/helper text and selectField dropdown,https://github.com/homebound-team/beam/pull/770,2022-12-16T17:58:26Z,2022-12-16T22:27:48Z,2,4,MERGED
