repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
isomercms-frontend,fix: preview SVGs,https://github.com/isomerpages/isomercms-frontend/pull/14,2019-10-29T06:07:11Z,2019-10-29T06:59:38Z,0,1,MERGED
isomercms-frontend,Prototype markdown editor,https://github.com/isomerpages/isomercms-frontend/pull/6,2019-10-24T05:59:09Z,2019-10-24T14:08:25Z,5,21,MERGED
isomercms-frontend,fix: make EditNav preview mobile responsive,https://github.com/isomerpages/isomercms-frontend/pull/91,2019-11-25T03:40:32Z,2019-11-25T06:47:40Z,0,3,MERGED
isomercms-frontend,style: fix letter spacing issue caused by isomer-template CSS,https://github.com/isomerpages/isomercms-frontend/pull/87,2019-11-22T08:21:34Z,2019-11-22T08:55:25Z,0,1,MERGED
isomercms-frontend,feat: add navigation preview,https://github.com/isomerpages/isomercms-frontend/pull/86,2019-11-22T07:26:17Z,2019-11-22T08:26:05Z,0,6,MERGED
isomercms-frontend,fix: make background cover entire page height,https://github.com/isomerpages/isomercms-frontend/pull/80,2019-11-21T14:17:00Z,2019-11-21T18:04:36Z,0,1,MERGED
isomercms-frontend,feat: set up EditHomepage header elements,https://github.com/isomerpages/isomercms-frontend/pull/79,2019-11-21T13:48:27Z,2019-11-21T18:02:59Z,0,1,MERGED
isomercms-frontend,style: fix homepage editor styling,https://github.com/isomerpages/isomercms-frontend/pull/78,2019-11-21T10:14:05Z,2019-11-21T18:02:37Z,0,1,MERGED
isomercms-frontend,feat: add Menus page,https://github.com/isomerpages/isomercms-frontend/pull/69,2019-11-21T02:00:49Z,2019-11-21T04:10:22Z,0,1,MERGED
isomercms-frontend,style: create class for sites section title,https://github.com/isomerpages/isomercms-frontend/pull/62,2019-11-20T07:06:11Z,2019-11-20T09:29:19Z,0,1,MERGED
isomercms-frontend,Add basic resource room functionality,https://github.com/isomerpages/isomercms-frontend/pull/42,2019-11-07T10:25:29Z,2019-11-13T07:34:29Z,6,14,MERGED
isomercms-frontend,"[Feat - EditPage, ImagesModal] Highlight selected image",https://github.com/isomerpages/isomercms-frontend/pull/124,2019-12-26T14:11:14Z,2020-02-19T09:13:37Z,0,9,MERGED
isomercms-frontend,feat: display create new resource button up front,https://github.com/isomerpages/isomercms-frontend/pull/121,2019-12-26T08:06:06Z,2019-12-27T05:50:39Z,0,1,MERGED
isomercms-frontend,style: login page,https://github.com/isomerpages/isomercms-frontend/pull/120,2019-12-26T07:00:08Z,2019-12-30T08:16:05Z,1,2,MERGED
