repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
vscode-dvc,Rough table,https://github.com/iterative/vscode-dvc/pull/5,2020-10-30T18:25:28Z,2020-11-13T23:59:10Z,5,28,MERGED
vscode-dvc,Add editor & explorer context for Run Experiment,https://github.com/iterative/vscode-dvc/pull/33,2020-12-18T22:03:36Z,2020-12-19T02:11:22Z,2,1,MERGED
vscode-dvc,Add Resources section,https://github.com/iterative/vscode-dvc/pull/68,2021-01-10T14:40:57Z,2021-01-10T19:26:33Z,3,1,CLOSED
vscode-dvc,"Add DVC Path configuration, selection, & display",https://github.com/iterative/vscode-dvc/pull/55,2021-01-03T04:57:47Z,2021-01-03T18:44:39Z,14,10,MERGED
vscode-dvc,Explorer context menu commands,https://github.com/iterative/vscode-dvc/pull/121,2021-02-28T22:20:36Z,2021-03-01T07:38:55Z,5,5,MERGED
vscode-dvc,Overhaul Sort Indicator,https://github.com/iterative/vscode-dvc/pull/114,2021-02-26T16:44:01Z,2021-03-11T20:54:46Z,32,31,MERGED
vscode-dvc,Manage columns dropdown improvements,https://github.com/iterative/vscode-dvc/pull/213,2021-03-26T15:53:50Z,2021-03-30T21:18:10Z,20,23,CLOSED
vscode-dvc,Spike decoration provider,https://github.com/iterative/vscode-dvc/pull/206,2021-03-25T01:08:38Z,2021-03-25T18:21:54Z,4,16,MERGED
vscode-dvc,Improve show webview,https://github.com/iterative/vscode-dvc/pull/157,2021-03-15T05:24:35Z,2021-03-16T01:04:52Z,8,8,MERGED
vscode-dvc,Explorer tree view,https://github.com/iterative/vscode-dvc/pull/151,2021-03-13T01:29:17Z,2021-03-17T21:53:00Z,1,14,CLOSED
vscode-dvc,Change Tree View menu into scm/title menu,https://github.com/iterative/vscode-dvc/pull/150,2021-03-12T02:44:28Z,2021-03-12T03:13:16Z,1,2,MERGED
vscode-dvc,"2/3 - Get only ""changed outs"" from status",https://github.com/iterative/vscode-dvc/pull/347,2021-04-29T01:49:39Z,2021-04-29T19:20:08Z,3,7,MERGED
vscode-dvc,Add `runExperiment` with Icon to `editor/title`,https://github.com/iterative/vscode-dvc/pull/343,2021-04-28T16:38:09Z,2021-05-04T21:11:48Z,5,19,MERGED
vscode-dvc,Update package.json version in CI,https://github.com/iterative/vscode-dvc/pull/335,2021-04-27T16:36:45Z,2021-04-27T21:21:18Z,1,10,MERGED
vscode-dvc,1/2 - Add Remote Only category to Repository SCM view,https://github.com/iterative/vscode-dvc/pull/308,2021-04-22T00:25:59Z,2021-04-22T16:56:05Z,1,23,MERGED
vscode-dvc,Create explorer tree view,https://github.com/iterative/vscode-dvc/pull/302,2021-04-21T03:12:52Z,2021-04-21T23:40:55Z,1,8,CLOSED
vscode-dvc,Experiment Commands #3: Add command for `exp gc` with selectable flags,https://github.com/iterative/vscode-dvc/pull/269,2021-04-13T20:42:39Z,2021-04-14T16:28:21Z,8,7,MERGED
vscode-dvc,Add modified from Status class to SCM view,https://github.com/iterative/vscode-dvc/pull/249,2021-04-08T23:20:33Z,2021-04-09T18:40:12Z,1,10,MERGED
vscode-dvc,Add output channel,https://github.com/iterative/vscode-dvc/pull/480,2021-05-26T04:31:05Z,2021-05-27T00:02:41Z,3,10,MERGED
vscode-dvc,Fix non-number formatting in experiments table,https://github.com/iterative/vscode-dvc/pull/457,2021-05-20T18:53:53Z,2021-05-20T20:47:29Z,1,4,MERGED
vscode-dvc,README: add tests coverage badge,https://github.com/iterative/vscode-dvc/pull/441,2021-05-19T02:49:55Z,2021-05-19T03:07:08Z,1,1,MERGED
vscode-dvc,Use nyc for combined coverage,https://github.com/iterative/vscode-dvc/pull/428,2021-05-15T05:14:54Z,2021-05-18T18:45:39Z,4,77,MERGED
vscode-dvc,4/4 - Add welcome view for no project,https://github.com/iterative/vscode-dvc/pull/408,2021-05-11T05:33:03Z,2021-05-11T15:13:51Z,6,12,MERGED
vscode-dvc,Add placeholder tracked explorer tree welcome view,https://github.com/iterative/vscode-dvc/pull/400,2021-05-10T04:36:02Z,2021-05-10T18:25:14Z,1,4,MERGED
