repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
salt-ds,@ignore some CSS comments,https://github.com/jpmorganchase/salt-ds/pull/72,2022-04-28T10:06:07Z,2022-04-28T10:34:19Z,2,1,MERGED
salt-ds,"[DNM] Theme Flow Chart Editing, Figma Style Generator Plugin, Style Dictionary Test, New Css to Json Parser",https://github.com/jpmorganchase/salt-ds/pull/58,2022-04-23T20:25:07Z,2022-11-23T14:36:23Z,2,41,CLOSED
salt-ds,"Swap blue 800 900, remove 1000 from doc",https://github.com/jpmorganchase/salt-ds/pull/106,2022-05-17T19:02:58Z,2022-05-18T09:01:01Z,2,2,MERGED
salt-ds,Make link underline available in both theme,https://github.com/jpmorganchase/salt-ds/pull/105,2022-05-17T17:20:33Z,2022-05-18T10:23:49Z,2,2,MERGED
salt-ds,Test ag grid custom theme,https://github.com/jpmorganchase/salt-ds/pull/95,2022-05-08T19:06:03Z,2022-08-04T19:32:39Z,3,2,CLOSED
salt-ds,Test global css in :root,https://github.com/jpmorganchase/salt-ds/pull/94,2022-05-07T13:33:41Z,2022-05-18T07:52:53Z,2,1,CLOSED
salt-ds,Fix dropdown combo list zindex,https://github.com/jpmorganchase/salt-ds/pull/188,2022-06-13T16:17:43Z,2022-07-20T15:20:16Z,3,4,MERGED
salt-ds,Restructure docs nav hierarchy ,https://github.com/jpmorganchase/salt-ds/pull/171,2022-06-09T12:12:21Z,2022-06-14T16:51:34Z,2,7,MERGED
salt-ds,Elaborate layout docs,https://github.com/jpmorganchase/salt-ds/pull/158,2022-06-08T07:42:02Z,2022-06-14T16:02:33Z,2,9,MERGED
salt-ds,add chromatic link and mention in readme,https://github.com/jpmorganchase/salt-ds/pull/156,2022-06-07T14:34:46Z,2022-06-07T21:20:53Z,2,3,MERGED
salt-ds,Checkbox svg use geometricPrecision to fix aliasing,https://github.com/jpmorganchase/salt-ds/pull/153,2022-06-06T15:13:33Z,2022-06-07T12:44:40Z,2,3,MERGED
salt-ds,Modify sideEffects to css related files for icons package.json,https://github.com/jpmorganchase/salt-ds/pull/278,2022-07-20T08:51:56Z,2022-07-20T14:36:13Z,3,2,MERGED
salt-ds,Hide component anatomy controls by default,https://github.com/jpmorganchase/salt-ds/pull/255,2022-07-13T09:39:05Z,2022-07-17T10:16:01Z,2,2,MERGED
salt-ds,Fix Dropdown button active text and icon color,https://github.com/jpmorganchase/salt-ds/pull/354,2022-08-24T18:05:10Z,2022-08-26T15:39:53Z,2,3,MERGED
salt-ds,Fix Button justify-content css,https://github.com/jpmorganchase/salt-ds/pull/353,2022-08-24T17:53:24Z,2022-08-24T23:15:52Z,2,2,MERGED
salt-ds,"Fix z-index for ComboBox, Dropdown and LayerLayout due to CSS variable name mismatch",https://github.com/jpmorganchase/salt-ds/pull/352,2022-08-24T17:01:11Z,2022-08-24T23:45:33Z,2,1,MERGED
salt-ds,Ensure Panel custom styling is only in Panel example and remove undefined css var from StepperInput,https://github.com/jpmorganchase/salt-ds/pull/312,2022-08-11T12:10:07Z,2022-08-15T18:04:40Z,3,7,MERGED
salt-ds,Add and update icons v4,https://github.com/jpmorganchase/salt-ds/pull/310,2022-08-11T11:15:25Z,2022-08-24T10:55:45Z,2,7,MERGED
