repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
launchpad-ui,refactor: use nx for monorepo build system,https://github.com/launchdarkly/launchpad-ui/pull/74,2022-05-31T12:36:52Z,2022-05-31T17:55:09Z,3,8,MERGED
launchpad-ui,refactor(alert): Increase the specificity on .Alert-close to fix style conflict with buttons,https://github.com/launchdarkly/launchpad-ui/pull/177,2022-07-13T04:05:23Z,2022-07-13T15:36:24Z,4,5,MERGED
launchpad-ui,fix(lozenge): update flag variant styles,https://github.com/launchdarkly/launchpad-ui/pull/175,2022-07-12T17:21:29Z,2022-07-13T12:26:46Z,4,3,MERGED
launchpad-ui,feat: add vitest ui,https://github.com/launchdarkly/launchpad-ui/pull/311,2022-08-24T13:37:36Z,2022-08-24T15:02:54Z,2,1,MERGED
launchpad-ui,fix: change current progress bubble backgrounds to green,https://github.com/launchdarkly/launchpad-ui/pull/310,2022-08-23T23:46:47Z,2022-08-24T13:54:43Z,2,3,MERGED
launchpad-ui,fix(modal): bump modal z-index,https://github.com/launchdarkly/launchpad-ui/pull/451,2022-09-30T19:25:27Z,2022-09-30T20:32:33Z,4,1,MERGED
launchpad-ui,test: cypress component testing,https://github.com/launchdarkly/launchpad-ui/pull/422,2022-09-23T20:54:26Z,2022-09-30T15:31:58Z,10,28,MERGED
launchpad-ui,"chore(alert,banner): Increase alert and banner specificity",https://github.com/launchdarkly/launchpad-ui/pull/405,2022-09-20T16:58:33Z,2022-09-20T17:12:19Z,2,2,MERGED
launchpad-ui,chore(notification): deprecate package,https://github.com/launchdarkly/launchpad-ui/pull/395,2022-09-19T20:01:54Z,2022-09-19T20:45:56Z,2,2,MERGED
launchpad-ui,feat: use TurboSnap for fewer snapshots,https://github.com/launchdarkly/launchpad-ui/pull/346,2022-09-07T15:25:42Z,2022-09-07T16:10:49Z,2,1,MERGED
launchpad-ui,refactor(button): update upload button types,https://github.com/launchdarkly/launchpad-ui/pull/334,2022-09-06T16:02:31Z,2022-09-06T16:06:10Z,2,1,MERGED
launchpad-ui,fix(snackbar): style anchor tag hover state,https://github.com/launchdarkly/launchpad-ui/pull/479,2022-10-10T18:52:30Z,2022-10-11T14:07:11Z,4,1,MERGED
launchpad-ui,"fix(alert,banner,snackbar): convert slot string props to react nodes",https://github.com/launchdarkly/launchpad-ui/pull/464,2022-10-05T15:55:20Z,2022-10-05T17:10:58Z,2,3,MERGED
launchpad-ui,fix(icon): set background color for current progressbubble,https://github.com/launchdarkly/launchpad-ui/pull/586,2022-11-28T23:06:35Z,2022-11-29T18:26:19Z,3,4,MERGED
launchpad-ui,feat: add alias token story,https://github.com/launchdarkly/launchpad-ui/pull/583,2022-11-22T15:27:35Z,2022-11-22T16:31:35Z,2,1,MERGED
launchpad-ui,feat(icon): add bullseye icon,https://github.com/launchdarkly/launchpad-ui/pull/578,2022-11-17T18:37:01Z,2022-11-17T19:19:55Z,2,1,MERGED
launchpad-ui,"feat(icons): add ""release-path"" icon",https://github.com/launchdarkly/launchpad-ui/pull/576,2022-11-16T22:38:55Z,2022-11-17T18:52:55Z,4,4,MERGED
launchpad-ui,refactor(button): update button destructive styles,https://github.com/launchdarkly/launchpad-ui/pull/617,2022-12-13T23:21:34Z,2022-12-13T23:31:26Z,2,1,MERGED
launchpad-ui,fix(filter): remove filter target style,https://github.com/launchdarkly/launchpad-ui/pull/605,2022-12-07T19:05:35Z,2022-12-07T19:06:08Z,2,2,MERGED
launchpad-ui,fix: bump z-index values across design system,https://github.com/launchdarkly/launchpad-ui/pull/666,2023-01-27T20:29:49Z,2023-01-27T20:41:11Z,2,1,MERGED
launchpad-ui,feat(icon): add arrow icons for release paths flag list view,https://github.com/launchdarkly/launchpad-ui/pull/664,2023-01-26T18:09:48Z,2023-01-27T21:08:10Z,2,2,MERGED
launchpad-ui,feat(icon): add arrow-<direction>-thin icons,https://github.com/launchdarkly/launchpad-ui/pull/658,2023-01-19T00:32:15Z,2023-01-20T01:29:37Z,2,1,MERGED
launchpad-ui,feat(icon): add arrow-left-thin icon,https://github.com/launchdarkly/launchpad-ui/pull/656,2023-01-18T20:59:19Z,2023-01-19T00:26:40Z,4,2,CLOSED
launchpad-ui,feat(snackbar): add optional footer to Snackbar,https://github.com/launchdarkly/launchpad-ui/pull/708,2023-02-28T18:13:46Z,2023-03-02T18:34:57Z,4,4,CLOSED
launchpad-ui,feat(icons): add language icon,https://github.com/launchdarkly/launchpad-ui/pull/702,2023-02-23T21:08:25Z,2023-02-23T21:10:46Z,2,1,MERGED
launchpad-ui,fix: update button styles to match Figma,https://github.com/launchdarkly/launchpad-ui/pull/694,2023-02-16T00:21:07Z,2023-02-16T20:25:33Z,4,6,MERGED
