repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
nimble,Update example app for NI Tech Demo + extend text-field to support password mode,https://github.com/ni/nimble/pull/42,2021-07-26T14:56:42Z,2021-07-28T18:58:14Z,7,7,MERGED
nimble,Storybook arg support,https://github.com/ni/nimble/pull/39,2021-07-22T20:52:51Z,2021-07-25T03:44:11Z,3,9,MERGED
nimble,Accessibility storybook addon,https://github.com/ni/nimble/pull/37,2021-07-21T22:00:37Z,2021-07-21T23:05:04Z,0,3,MERGED
nimble,Component test matrices,https://github.com/ni/nimble/pull/76,2021-08-16T19:47:34Z,2021-08-18T16:11:15Z,6,15,MERGED
nimble,New nimble tree item component,https://github.com/ni/nimble/pull/129,2021-09-23T21:27:42Z,2021-09-24T19:00:56Z,8,47,MERGED
nimble,Add karma reporter to list all tests run during CI,https://github.com/ni/nimble/pull/111,2021-09-10T16:42:05Z,2021-09-13T15:01:52Z,0,9,MERGED
nimble,Style text-fields in matrix for visual readability ,https://github.com/ni/nimble/pull/106,2021-09-08T19:18:43Z,2021-09-09T15:18:03Z,1,3,MERGED
nimble,nimble tree view and item with rough styling,https://github.com/ni/nimble/pull/101,2021-09-03T19:56:08Z,2021-09-23T19:22:31Z,16,36,MERGED
nimble,Storybook component doc templates,https://github.com/ni/nimble/pull/96,2021-09-03T14:59:16Z,2021-09-03T20:59:17Z,7,9,MERGED
nimble,Add basic component docs,https://github.com/ni/nimble/pull/193,2021-10-29T21:36:03Z,2021-11-02T14:39:10Z,6,9,MERGED
nimble,nimble-drawer Angular integration,https://github.com/ni/nimble/pull/187,2021-10-25T22:36:01Z,2021-10-27T16:22:56Z,5,13,MERGED
nimble,Render storybook as string from html tagged template,https://github.com/ni/nimble/pull/181,2021-10-21T18:42:26Z,2021-10-25T17:59:30Z,5,8,MERGED
nimble,nimble-drawer (sidenav) component,https://github.com/ni/nimble/pull/165,2021-10-12T22:13:01Z,2021-10-20T23:31:25Z,35,34,MERGED
nimble,Fix minor matrix issues,https://github.com/ni/nimble/pull/161,2021-10-11T20:26:03Z,2021-10-11T21:21:49Z,0,5,MERGED
nimble,Fix naming of tabs theme matrix storybook,https://github.com/ni/nimble/pull/151,2021-10-07T18:43:24Z,2021-10-07T20:19:24Z,0,6,MERGED
nimble,Fixed contents of disabled fields shifting on hover ,https://github.com/ni/nimble/pull/150,2021-10-07T17:44:46Z,2021-10-07T22:05:45Z,2,10,MERGED
nimble,Routine DSP update from XD - and updated logo,https://github.com/ni/nimble/pull/196,2021-11-03T15:37:42Z,2021-11-10T17:24:45Z,3,11,MERGED
nimble,Theme stylesheet behavior,https://github.com/ni/nimble/pull/316,2022-01-29T22:03:24Z,2022-02-04T23:36:56Z,10,25,MERGED
nimble,Storybook color docs,https://github.com/ni/nimble/pull/261,2022-01-14T15:54:49Z,2022-01-18T16:04:17Z,6,7,MERGED
nimble,Beachball update lock support wildcard dependencies,https://github.com/ni/nimble/pull/252,2022-01-12T00:56:25Z,2022-01-12T17:26:46Z,2,5,MERGED
nimble,Update readonly text field style,https://github.com/ni/nimble/pull/359,2022-02-15T21:41:22Z,2022-02-17T17:24:44Z,1,4,MERGED
nimble,Nimble Blazor example projects,https://github.com/ni/nimble/pull/459,2022-03-24T22:25:42Z,2022-03-30T20:59:48Z,9,7,MERGED
nimble,Enable start slot of text field,https://github.com/ni/nimble/pull/518,2022-04-26T17:04:07Z,2022-04-29T19:19:19Z,4,12,MERGED
nimble,Add frameless appearance for text field,https://github.com/ni/nimble/pull/509,2022-04-20T22:03:33Z,2022-04-22T12:34:17Z,0,4,MERGED
nimble,Fix blazor select option,https://github.com/ni/nimble/pull/501,2022-04-14T16:12:44Z,2022-04-14T16:56:20Z,0,2,MERGED
nimble,Update version of caniuse-lite to fix warning during npm run build,https://github.com/ni/nimble/pull/541,2022-05-04T21:44:38Z,2022-05-09T13:56:48Z,1,2,CLOSED
nimble,Support clear-inline-padding on text field to align label and value,https://github.com/ni/nimble/pull/532,2022-05-03T20:13:45Z,2022-05-09T16:19:09Z,8,22,MERGED
nimble,Background Contrast Color Design Token addition,https://github.com/ni/nimble/pull/613,2022-06-22T15:43:51Z,2022-06-27T17:07:03Z,4,7,MERGED
nimble,Keyboard focus styling for nimble-select,https://github.com/ni/nimble/pull/593,2022-06-08T21:40:37Z,2022-06-15T19:02:37Z,3,9,MERGED
nimble,Change colors for selected text,https://github.com/ni/nimble/pull/645,2022-07-22T20:38:57Z,2022-08-08T19:32:31Z,6,5,CLOSED
nimble,Update icons,https://github.com/ni/nimble/pull/701,2022-08-25T21:41:32Z,2022-08-26T13:51:04Z,2,5,MERGED
nimble,Fix favicon,https://github.com/ni/nimble/pull/713,2022-09-07T14:05:17Z,2022-09-08T22:53:04Z,3,7,MERGED
nimble,Adding favicon to Storybook,https://github.com/ni/nimble/pull/707,2022-09-01T13:25:22Z,2022-09-06T16:05:44Z,8,9,MERGED
nimble,Add index to static build site,https://github.com/ni/nimble/pull/780,2022-10-13T19:54:24Z,2022-10-13T20:30:24Z,1,5,MERGED
nimble,Updates to address landing page lighthouse,https://github.com/ni/nimble/pull/904,2022-12-07T21:21:23Z,2022-12-07T22:52:17Z,0,2,MERGED
nimble,Table styling update: Headers should appear to overhang above the scrollbar,https://github.com/ni/nimble/pull/1050,2023-02-13T20:38:23Z,2023-02-13T22:52:37Z,3,4,MERGED
nimble,Fix background color of dropdown listbox in color theme,https://github.com/ni/nimble/pull/1029,2023-02-06T19:18:26Z,2023-02-10T20:00:04Z,2,8,MERGED
nimble,Fix bug with BlazorTabPanel event handling,https://github.com/ni/nimble/pull/1148,2023-03-31T16:42:11Z,2023-04-03T16:54:32Z,4,5,MERGED
nimble,Explicitly capture IxD specs and requirements within repo,https://github.com/ni/nimble/pull/1128,2023-03-16T21:05:50Z,2023-04-28T15:55:53Z,20,17,MERGED
nimble,Add invalid styling and update focus styling for text area component,https://github.com/ni/nimble/pull/1119,2023-03-14T17:40:12Z,2023-04-04T19:25:22Z,20,27,MERGED
nimble,Adding file-export icon,https://github.com/ni/nimble/pull/1177,2023-04-10T21:30:53Z,2023-04-11T01:42:29Z,0,4,MERGED
nimble,Adding 3 table icons,https://github.com/ni/nimble/pull/1174,2023-04-10T17:34:04Z,2023-04-10T18:32:48Z,0,3,MERGED
nimble,Anchor tree item selection should set group selection state,https://github.com/ni/nimble/pull/1169,2023-04-07T18:32:53Z,2023-04-21T15:56:15Z,11,25,MERGED
nimble,Replace Storybook icon docs with icon table (including metadata),https://github.com/ni/nimble/pull/1260,2023-05-19T20:25:20Z,2023-09-21T20:12:45Z,4,7,CLOSED
nimble,"Add icons down-right-from-square, up-right-from-square, and file-arrow-curved-right and remove some",https://github.com/ni/nimble/pull/1242,2023-05-11T19:44:29Z,2023-05-12T17:44:48Z,6,9,MERGED
nimble,POC Generic update tracker prototype,https://github.com/ni/nimble/pull/1232,2023-05-09T14:52:04Z,2023-05-24T19:00:10Z,3,16,CLOSED
