repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
denhaag,Install accessibility plugin for Storybook,https://github.com/nl-design-system/denhaag/pull/209,2021-05-30T09:50:06Z,2021-06-02T10:33:04Z,0,1,MERGED
denhaag,Fix button primary action disabled style,https://github.com/nl-design-system/denhaag/pull/208,2021-05-29T13:09:08Z,2021-05-29T14:32:32Z,0,2,MERGED
denhaag,Storybook theme,https://github.com/nl-design-system/denhaag/pull/202,2021-05-26T16:14:02Z,2021-05-27T14:04:21Z,0,3,MERGED
denhaag,Documentation for Brand Identity colors,https://github.com/nl-design-system/denhaag/pull/200,2021-05-26T11:56:51Z,2021-06-11T20:39:42Z,3,13,MERGED
denhaag,Add rollup bundler,https://github.com/nl-design-system/denhaag/pull/241,2021-06-10T07:23:20Z,2021-07-07T10:51:50Z,11,1,MERGED
denhaag,Fix timeline missing design token,https://github.com/nl-design-system/denhaag/pull/320,2021-07-13T11:37:23Z,2021-07-14T08:48:01Z,0,1,MERGED
denhaag,fix(breadcrumb): added minor fix for the separator after an icon,https://github.com/nl-design-system/denhaag/pull/614,2021-12-15T14:40:15Z,2021-12-15T14:42:10Z,0,1,MERGED
denhaag,Feature/596 html modal,https://github.com/nl-design-system/denhaag/pull/601,2021-12-09T14:04:55Z,2022-01-24T14:57:40Z,9,19,MERGED
denhaag,Feature/575 html pagination,https://github.com/nl-design-system/denhaag/pull/592,2021-12-06T16:30:25Z,2021-12-20T12:55:17Z,24,19,MERGED
denhaag,Feature/breadcrumbs,https://github.com/nl-design-system/denhaag/pull/586,2021-12-06T10:10:29Z,2021-12-15T14:33:01Z,19,25,MERGED
denhaag,"fix(button): fix button preview, removing linting exclude message",https://github.com/nl-design-system/denhaag/pull/572,2021-12-02T14:31:16Z,2021-12-02T15:18:14Z,0,1,MERGED
denhaag,Feature/644 share button,https://github.com/nl-design-system/denhaag/pull/716,2022-01-25T15:41:47Z,2022-02-07T10:54:58Z,21,11,MERGED
denhaag,fix: removed alert component a11y check disables,https://github.com/nl-design-system/denhaag/pull/707,2022-01-21T14:45:19Z,2022-01-21T15:15:35Z,0,1,MERGED
denhaag,feat: cta image content component realization,https://github.com/nl-design-system/denhaag/pull/739,2022-02-10T09:45:24Z,2022-02-22T10:06:03Z,12,13,MERGED
denhaag,Fix/linting windows,https://github.com/nl-design-system/denhaag/pull/730,2022-02-04T08:10:49Z,2022-02-28T14:19:16Z,2,1,MERGED
denhaag,"fix(note): add text div, fixing style when adding anchor tag",https://github.com/nl-design-system/denhaag/pull/825,2022-03-14T11:43:24Z,2022-03-15T14:29:38Z,0,1,MERGED
denhaag,style(link-group-extended): additional style,https://github.com/nl-design-system/denhaag/pull/884,2022-04-11T13:50:51Z,2022-04-12T07:02:54Z,0,1,MERGED
denhaag,feat: added home variant for hero,https://github.com/nl-design-system/denhaag/pull/874,2022-04-04T11:54:56Z,2022-04-06T15:41:08Z,0,5,MERGED
