repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
rijkshuisstijl-community,Feature/alert,https://github.com/nl-design-system/rijkshuisstijl-community/pull/517,2024-08-06T14:09:02Z,2024-08-19T09:20:41Z,11,34,MERGED
rijkshuisstijl-community,docs: add Rijkshuisstijl color design tokens overview page,https://github.com/nl-design-system/rijkshuisstijl-community/pull/497,2024-08-02T07:44:22Z,2025-06-03T14:02:29Z,3,2,CLOSED
rijkshuisstijl-community,build: add `dist/tokens.json` to design tokens package,https://github.com/nl-design-system/rijkshuisstijl-community/pull/1001,2024-12-11T11:05:11Z,2024-12-11T11:10:28Z,1,1,MERGED
rijkshuisstijl-community,Feat/dev ovh api overzicht,https://github.com/nl-design-system/rijkshuisstijl-community/pull/1207,2025-02-04T15:23:26Z,2025-08-13T07:58:08Z,14,23,CLOSED
rijkshuisstijl-community,Feat/dev ovh api overzicht,https://github.com/nl-design-system/rijkshuisstijl-community/pull/1207,2025-02-04T15:23:26Z,2025-08-13T07:58:08Z,14,23,CLOSED
rijkshuisstijl-community,feat: CardSearch component,https://github.com/nl-design-system/rijkshuisstijl-community/pull/1366,2025-03-04T12:51:08Z,2025-08-20T13:34:25Z,29,21,MERGED
rijkshuisstijl-community,Feat/filter badge components (DataBadgeButton),https://github.com/nl-design-system/rijkshuisstijl-community/pull/1662,2025-05-30T12:30:01Z,2025-06-23T09:29:29Z,50,11,MERGED
rijkshuisstijl-community,Opzet voor nieuwe readme format (#1736),https://github.com/nl-design-system/rijkshuisstijl-community/pull/1739,2025-06-19T14:07:41Z,2025-06-24T06:16:24Z,11,8,MERGED
rijkshuisstijl-community,feat: nav bar bottom border added as designed,https://github.com/nl-design-system/rijkshuisstijl-community/pull/1854,2025-08-05T13:40:39Z,2025-08-07T15:08:53Z,5,2,MERGED
rijkshuisstijl-community,feat: remove fixed width from component to delegate sizing to layout,https://github.com/nl-design-system/rijkshuisstijl-community/pull/1851,2025-08-05T12:06:13Z,2025-08-13T09:33:45Z,9,4,MERGED
