repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
design-system,NDS 280 build basic datalist,https://github.com/nulogy/design-system/pull/42,2018-09-13T22:39:40Z,2018-09-18T16:17:58Z,1,17,MERGED
design-system,Add support for custom links on the branding image in the NavBar component.,https://github.com/nulogy/design-system/pull/335,2019-06-21T19:05:12Z,2019-06-21T19:40:56Z,0,2,MERGED
design-system,NDS-1154 fixes scrollbar being visible when content does not overflow,https://github.com/nulogy/design-system/pull/423,2019-10-29T18:09:17Z,2019-10-30T15:15:29Z,0,1,MERGED
design-system,NDS-1163 add minWidth to the dropdowns in the  navBar,https://github.com/nulogy/design-system/pull/422,2019-10-28T18:39:05Z,2019-10-30T15:10:17Z,0,4,MERGED
design-system,NDS-1167 Adds loading state to the table,https://github.com/nulogy/design-system/pull/419,2019-10-25T17:47:44Z,2019-10-25T18:31:54Z,0,2,MERGED
design-system,NDS-1162 Fixes height issue with blank select option,https://github.com/nulogy/design-system/pull/410,2019-10-17T19:28:34Z,2019-10-18T19:41:50Z,0,1,MERGED
design-system,feat: add truncated text component,https://github.com/nulogy/design-system/pull/583,2020-03-17T16:07:03Z,2020-03-18T13:39:15Z,1,3,MERGED
design-system,fix: select hover bug when text overflows select due to long words,https://github.com/nulogy/design-system/pull/578,2020-03-04T18:07:44Z,2020-03-16T18:54:52Z,0,2,MERGED
design-system,feat: add PM style table,https://github.com/nulogy/design-system/pull/639,2020-05-04T18:01:05Z,2020-05-08T13:45:07Z,1,10,MERGED
design-system,fix: allow single breadcrumb in Breadcrumbs,https://github.com/nulogy/design-system/pull/704,2020-06-29T15:59:20Z,2020-06-29T16:41:49Z,0,1,MERGED
design-system,feat: replace 'showTraining' prop with 'environment' in BrandedNavBar ,https://github.com/nulogy/design-system/pull/696,2020-06-25T17:48:34Z,2020-06-29T17:40:26Z,0,4,MERGED
design-system,feat: accessible toggle colours,https://github.com/nulogy/design-system/pull/695,2020-06-25T15:47:58Z,2020-06-30T14:36:21Z,0,2,MERGED
design-system,feat: export SelectOption component for customizing options in the Select,https://github.com/nulogy/design-system/pull/714,2020-07-10T16:45:55Z,2020-07-10T17:13:22Z,0,2,MERGED
design-system,chore: DO-174 document tokens in storybook,https://github.com/nulogy/design-system/pull/787,2020-10-07T14:39:47Z,2020-10-07T17:17:34Z,0,2,MERGED
design-system,fix: Align dropdown menus to vertically center,https://github.com/nulogy/design-system/pull/812,2020-11-17T21:32:42Z,2020-11-18T16:14:29Z,1,2,MERGED
design-system,feat(IconicButton): Adds ability to set a color,https://github.com/nulogy/design-system/pull/863,2021-02-26T17:32:55Z,2021-03-02T19:16:51Z,2,2,MERGED
design-system,feat: increase the opacity of `disabled` Text from 33% to 70%,https://github.com/nulogy/design-system/pull/855,2021-02-05T17:52:42Z,2021-02-09T20:35:31Z,1,1,MERGED
design-system,DO-280: Increase contrast on disabled control labels,https://github.com/nulogy/design-system/pull/854,2021-02-05T17:31:34Z,2021-02-05T17:52:27Z,0,2,CLOSED
design-system,feat: increase contrast on disabled `Input` and `Textarea`,https://github.com/nulogy/design-system/pull/884,2021-04-13T14:45:15Z,2021-04-19T15:13:27Z,0,2,MERGED
design-system,fix: Remove @hypnosphi/create-react-context dependency ,https://github.com/nulogy/design-system/pull/923,2021-07-23T13:13:06Z,2021-07-23T18:16:13Z,2,3,MERGED
design-system,fix: Prevent certain Icons from being cut off when used inside an IconicButton,https://github.com/nulogy/design-system/pull/918,2021-07-16T12:43:46Z,2021-10-07T13:31:40Z,0,2,CLOSED
design-system,chore: Upgrade react-i18next from 11.11.0 to 11.12.0,https://github.com/nulogy/design-system/pull/950,2021-10-08T03:41:03Z,2023-05-30T15:55:34Z,0,1,CLOSED
design-system,chore: upgrade react-windowed-select from 2.0.2 to 2.0.5,https://github.com/nulogy/design-system/pull/949,2021-10-08T03:40:59Z,2023-03-27T15:26:44Z,1,1,MERGED
design-system,[Snyk] Upgrade core-js from 3.15.1 to 3.17.3,https://github.com/nulogy/design-system/pull/948,2021-10-08T03:40:57Z,2023-05-30T15:55:24Z,0,1,CLOSED
design-system,[Snyk] Upgrade polished from 3.4.4 to 3.7.2,https://github.com/nulogy/design-system/pull/947,2021-10-08T03:40:54Z,2023-03-20T20:01:25Z,0,1,CLOSED
design-system,chore: upgrade date-fns from 2.9.0 to 2.23.0,https://github.com/nulogy/design-system/pull/946,2021-10-08T03:40:50Z,2023-03-27T15:26:25Z,1,1,MERGED
