repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
isomer,feat(qol): add cicd,https://github.com/opengovsg/isomer/pull/40,2024-03-21T00:27:00Z,2024-03-21T08:38:56Z,1,1,MERGED
isomer,fix: adjust styling for buttons,https://github.com/opengovsg/isomer/pull/83,2024-04-30T06:15:35Z,2024-05-03T04:37:38Z,1,1,MERGED
isomer,feat: add tiptap compatibility to components,https://github.com/opengovsg/isomer/pull/81,2024-04-29T04:06:47Z,2024-05-27T11:42:47Z,4,1,CLOSED
isomer,[Snyk] Upgrade js-base64 from 3.7.6 to 3.7.7,https://github.com/opengovsg/isomer/pull/80,2024-04-28T04:03:34Z,2024-05-06T08:08:50Z,1,1,CLOSED
isomer,[Snyk] Upgrade isomorphic-dompurify from 2.5.0 to 2.6.0,https://github.com/opengovsg/isomer/pull/79,2024-04-28T04:03:31Z,2024-05-06T08:06:52Z,1,1,CLOSED
isomer,[Snyk] Upgrade @govtechsg/sgds-react from 2.2.2 to 2.4.0,https://github.com/opengovsg/isomer/pull/78,2024-04-28T04:03:28Z,2024-05-06T08:07:34Z,0,1,MERGED
isomer,[Snyk] Upgrade @heroicons/react from 2.1.1 to 2.1.3,https://github.com/opengovsg/isomer/pull/77,2024-04-28T04:03:25Z,2024-05-03T08:30:40Z,1,1,CLOSED
isomer,[Snyk] Upgrade markdown-to-jsx from 7.4.1 to 7.4.6,https://github.com/opengovsg/isomer/pull/76,2024-04-28T04:03:21Z,2024-05-06T08:07:14Z,0,1,MERGED
isomer,fix(styling): collections layout design cleanup,https://github.com/opengovsg/isomer/pull/136,2024-05-29T16:31:22Z,2024-06-04T09:05:34Z,2,5,MERGED
isomer,"fix(styling): spacing updates for paragraph, headings",https://github.com/opengovsg/isomer/pull/128,2024-05-29T14:35:02Z,2024-05-30T05:40:42Z,3,4,MERGED
isomer,fix(style): article layout design fixes,https://github.com/opengovsg/isomer/pull/126,2024-05-29T11:18:50Z,2024-05-29T13:19:32Z,1,2,MERGED
isomer,fix(style): style updates for stats block,https://github.com/opengovsg/isomer/pull/111,2024-05-26T16:54:56Z,2024-05-29T13:18:11Z,2,3,CLOSED
isomer,fix(infopic): style fixes for infopic variants,https://github.com/opengovsg/isomer/pull/109,2024-05-26T14:21:05Z,2024-05-27T11:48:14Z,0,2,MERGED
isomer,"fix(infocols): design fixes, more icon support",https://github.com/opengovsg/isomer/pull/107,2024-05-23T02:30:28Z,2024-05-27T11:42:58Z,1,4,MERGED
isomer,[Snyk] Upgrade react-icons from 5.1.0 to 5.2.0,https://github.com/opengovsg/isomer/pull/106,2024-05-22T21:17:20Z,2024-05-22T21:19:19Z,0,1,MERGED
isomer,[Snyk] Upgrade @govtechsg/sgds-react from 2.4.0 to 2.5.0,https://github.com/opengovsg/isomer/pull/105,2024-05-22T21:17:16Z,2024-05-22T21:18:39Z,0,1,MERGED
isomer,[Snyk] Upgrade @govtechsg/sgds from 2.2.0 to 2.3.0,https://github.com/opengovsg/isomer/pull/104,2024-05-22T21:17:13Z,2024-05-28T15:50:08Z,1,1,CLOSED
isomer,fix(infocards): styling and a11y fix for infocards,https://github.com/opengovsg/isomer/pull/103,2024-05-21T13:56:34Z,2024-05-27T11:36:19Z,3,5,MERGED
isomer,fix(footer): styling fixes,https://github.com/opengovsg/isomer/pull/100,2024-05-20T15:57:33Z,2024-05-21T05:15:32Z,5,5,MERGED
isomer,"[Snyk] Upgrade: react, react-dom",https://github.com/opengovsg/isomer/pull/99,2024-05-18T01:08:42Z,2024-05-18T01:10:43Z,0,1,MERGED
isomer,[Snyk] Upgrade markdown-to-jsx from 7.4.6 to 7.4.7,https://github.com/opengovsg/isomer/pull/91,2024-05-07T02:41:31Z,2024-05-07T02:53:06Z,2,1,MERGED
isomer,[Snyk] Upgrade react-icons from 5.0.1 to 5.1.0,https://github.com/opengovsg/isomer/pull/90,2024-05-07T02:41:28Z,2024-05-07T02:52:59Z,2,1,MERGED
isomer,[Snyk] Upgrade @headlessui/react from 1.7.18 to 1.7.19,https://github.com/opengovsg/isomer/pull/89,2024-05-07T02:41:24Z,2024-05-07T02:52:49Z,4,1,MERGED
isomer,[Snyk] Upgrade @aws-sdk/client-amplify from 3.589.0 to 3.606.0,https://github.com/opengovsg/isomer/pull/245,2024-06-28T07:20:35Z,2024-06-29T02:13:40Z,1,1,MERGED
isomer,feat: introduce JSONForms nested object renderer,https://github.com/opengovsg/isomer/pull/243,2024-06-28T02:24:41Z,2024-07-02T09:06:57Z,6,1,MERGED
isomer,[Snyk] Upgrade @aws-sdk/client-amplify from 3.589.0 to 3.590.0,https://github.com/opengovsg/isomer/pull/242,2024-06-27T07:01:10Z,2024-06-28T08:00:19Z,2,1,CLOSED
isomer,[Snyk] Upgrade @aws-sdk/client-amplify from 3.535.0 to 3.589.0,https://github.com/opengovsg/isomer/pull/228,2024-06-25T08:12:28Z,2024-06-26T02:45:51Z,1,1,MERGED
isomer,chore: combine test editor pages,https://github.com/opengovsg/isomer/pull/212,2024-06-21T07:45:59Z,2024-06-24T09:51:51Z,1,1,MERGED
isomer,isom 1143 select a layout for page,https://github.com/opengovsg/isomer/pull/211,2024-06-21T07:25:22Z,2024-07-08T07:42:30Z,60,31,MERGED
isomer,[Snyk] Upgrade @aws-sdk/client-amplify from 3.535.0 to 3.587.0,https://github.com/opengovsg/isomer/pull/208,2024-06-20T23:13:22Z,2024-06-26T02:55:31Z,2,1,CLOSED
isomer,[Snyk] Upgrade autoprefixer from 10.4.17 to 10.4.19,https://github.com/opengovsg/isomer/pull/207,2024-06-20T22:41:04Z,2024-06-26T02:55:08Z,1,1,MERGED
isomer,[Snyk] Upgrade postcss from 8.4.33 to 8.4.38,https://github.com/opengovsg/isomer/pull/206,2024-06-20T22:41:00Z,2024-06-26T02:44:10Z,1,1,MERGED
isomer,[Snyk] Upgrade next from 14.1.1 to 14.2.4,https://github.com/opengovsg/isomer/pull/205,2024-06-20T22:40:56Z,2024-06-26T02:32:42Z,1,1,MERGED
isomer,[Snyk] Upgrade typescript from 5.3.3 to 5.4.5,https://github.com/opengovsg/isomer/pull/204,2024-06-20T22:40:50Z,2024-06-24T09:46:22Z,1,2,MERGED
isomer,Feat/add native block editor component,https://github.com/opengovsg/isomer/pull/198,2024-06-19T16:17:20Z,2024-06-24T09:49:31Z,11,14,MERGED
isomer,ISOM-1155: Create a root drawer state,https://github.com/opengovsg/isomer/pull/189,2024-06-18T05:19:59Z,2024-06-19T08:06:50Z,6,13,MERGED
isomer,feat: create form builder for basic input types,https://github.com/opengovsg/isomer/pull/188,2024-06-18T04:53:44Z,2024-06-24T07:29:33Z,10,4,MERGED
isomer,Alexander/isom 1156 create add new block drawer state,https://github.com/opengovsg/isomer/pull/187,2024-06-18T04:06:44Z,2024-06-19T13:24:19Z,5,3,MERGED
isomer,ISOM-1086 DB schema crude draft for comment,https://github.com/opengovsg/isomer/pull/178,2024-06-14T07:11:37Z,2024-06-21T06:32:20Z,18,21,MERGED
isomer,ISOM 1152 table view for my pages,https://github.com/opengovsg/isomer/pull/159,2024-06-10T09:19:00Z,2024-06-13T01:43:34Z,4,9,MERGED
isomer,ISOM-1104: Create live preview for editing pages,https://github.com/opengovsg/isomer/pull/158,2024-06-07T18:25:37Z,2024-06-11T06:19:24Z,3,7,MERGED
isomer,ISOM-1142: feat(modal): page create modal with validations,https://github.com/opengovsg/isomer/pull/153,2024-06-05T05:56:34Z,2024-06-05T08:15:01Z,3,2,MERGED
isomer,feat: introduce discard changes modal,https://github.com/opengovsg/isomer/pull/400,2024-07-31T07:46:28Z,2024-07-31T10:30:24Z,1,1,MERGED
isomer,feat: add support for tables in Tiptap editor,https://github.com/opengovsg/isomer/pull/389,2024-07-30T03:36:18Z,2024-07-31T06:52:34Z,5,3,MERGED
isomer,feat: introduce functionality to delete editor block,https://github.com/opengovsg/isomer/pull/375,2024-07-26T07:23:31Z,2024-07-29T11:18:36Z,1,1,MERGED
isomer,fix: remove `schemaMatches`,https://github.com/opengovsg/isomer/pull/364,2024-07-25T07:48:07Z,2024-07-25T09:55:36Z,1,1,MERGED
