repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
blade,"feat(icons): add bell, share and message icons",https://github.com/razorpay/blade/pull/184,2020-08-27T09:09:49Z,2020-08-28T05:42:08Z,2,4,MERGED
blade,feat(icons): add link,https://github.com/razorpay/blade/pull/182,2020-08-19T08:58:44Z,2020-08-19T13:01:01Z,2,3,MERGED
blade,"chore(icons): add circle-filled, circle-empty and lock icons",https://github.com/razorpay/blade/pull/230,2021-01-18T05:36:25Z,2021-01-18T06:43:27Z,2,1,MERGED
blade,feat(native/tabs): add scrollable tabs,https://github.com/razorpay/blade/pull/242,2021-02-12T10:54:22Z,2021-02-19T06:53:07Z,2,1,MERGED
blade,fix(Amount/native): amount text should be vertically center,https://github.com/razorpay/blade/pull/240,2021-02-09T14:16:24Z,2021-02-10T11:48:24Z,3,2,MERGED
blade,feat(icons): add logout icon,https://github.com/razorpay/blade/pull/259,2021-03-30T14:01:26Z,2021-03-31T11:49:37Z,3,2,CLOSED
blade,"feat(icon): add Bank, Upi & Card icons",https://github.com/razorpay/blade/pull/247,2021-03-02T08:51:54Z,2021-03-03T03:35:50Z,2,1,MERGED
blade,adding plus icon,https://github.com/razorpay/blade/pull/264,2021-04-23T11:17:13Z,2021-04-23T12:50:59Z,2,1,MERGED
blade,fix(Snackbar): remove content on hiding snackbar,https://github.com/razorpay/blade/pull/263,2021-04-23T07:04:48Z,2021-04-28T04:42:57Z,3,4,MERGED
blade,fix(amount.native): Add missing lineHeight case when size='xsmall',https://github.com/razorpay/blade/pull/288,2021-05-26T09:02:26Z,2021-05-31T06:45:36Z,4,2,MERGED
blade,fix(blade): add description in token types,https://github.com/razorpay/blade/pull/330,2021-07-29T13:36:00Z,2021-08-03T04:48:39Z,2,8,MERGED
blade,feat(blade): add type generation scripts,https://github.com/razorpay/blade/pull/314,2021-07-12T11:40:07Z,2021-07-16T06:11:04Z,14,12,MERGED
blade,feat(blade-old): add download icon,https://github.com/razorpay/blade/pull/345,2021-08-26T07:50:15Z,2021-08-31T05:06:59Z,2,1,MERGED
blade,feat(blade-old): add book and headphone icons,https://github.com/razorpay/blade/pull/344,2021-08-26T04:16:31Z,2021-08-26T13:10:15Z,4,2,MERGED
blade,feat(blade-old): adds support for accessibilityLabel and testID,https://github.com/razorpay/blade/pull/343,2021-08-23T09:18:24Z,2021-10-12T06:04:31Z,6,4,CLOSED
blade,icons: add users & rotate-cw icons for refer-and-earn,https://github.com/razorpay/blade/pull/358,2021-10-19T07:16:30Z,2021-10-19T13:45:59Z,3,3,MERGED
blade,feat(blade-old): add weight support in Link native component,https://github.com/razorpay/blade/pull/371,2021-11-11T09:57:27Z,2021-11-11T16:06:23Z,5,4,MERGED
blade,feat(icons): Add icons,https://github.com/razorpay/blade/pull/368,2021-11-08T10:50:21Z,2021-11-08T11:27:57Z,2,2,MERGED
blade,fix(blade-old): updated support of  rn-modalize for RN v0.65,https://github.com/razorpay/blade/pull/385,2021-12-10T04:14:31Z,2021-12-13T09:05:43Z,5,2,MERGED
blade,Feat/add/payout link icon,https://github.com/razorpay/blade/pull/381,2021-12-03T10:37:35Z,2021-12-07T11:51:02Z,3,2,MERGED
blade,added CloseCircle new icon and added white background for checkedCircle,https://github.com/razorpay/blade/pull/380,2021-12-02T17:24:57Z,2021-12-07T06:18:00Z,3,3,MERGED
blade,feat(icons): Added New direction Icon,https://github.com/razorpay/blade/pull/377,2021-12-01T15:28:55Z,2021-12-03T09:18:06Z,4,2,CLOSED
blade,feat(icons): add four new icons for scalability ftux,https://github.com/razorpay/blade/pull/427,2022-03-11T09:15:50Z,2022-03-15T10:15:23Z,3,2,MERGED
blade,feat(hyperlink-icon): add hyperlink icon,https://github.com/razorpay/blade/pull/426,2022-03-11T06:07:05Z,2022-03-14T10:14:32Z,10,5,MERGED
blade,icons: add outlined & filled icons for bottom tabs ,https://github.com/razorpay/blade/pull/425,2022-03-09T12:53:04Z,2022-03-15T10:15:29Z,8,5,MERGED
blade,feat: add icon components,https://github.com/razorpay/blade/pull/451,2022-04-22T11:27:37Z,2022-05-05T07:06:09Z,24,47,MERGED
blade,docs(blade): add usage section and figma links to stories,https://github.com/razorpay/blade/pull/466,2022-05-11T09:41:14Z,2022-05-13T13:48:39Z,11,18,MERGED
blade,docs: add installation guide for react-native-reanimated,https://github.com/razorpay/blade/pull/458,2022-05-04T11:02:28Z,2022-05-05T04:32:09Z,1,1,MERGED
blade,"feat: add Download, Edit, History, Plus, Pause, & Trash icons",https://github.com/razorpay/blade/pull/534,2022-06-30T18:48:49Z,2022-07-01T10:14:35Z,5,8,MERGED
blade,feat: add button stories,https://github.com/razorpay/blade/pull/523,2022-06-23T08:57:53Z,2022-06-27T12:09:48Z,1,1,MERGED
blade,feat(a11y-tools): add storybook accessibility addon,https://github.com/razorpay/blade/pull/494,2022-06-06T07:20:20Z,2022-06-09T09:10:02Z,1,1,MERGED
blade,feat: add support for CSS theme variables,https://github.com/razorpay/blade/pull/560,2022-07-21T12:13:29Z,2022-07-29T08:32:18Z,11,24,MERGED
blade,Updated the phases of DS image to latest stage,https://github.com/razorpay/blade/pull/545,2022-07-12T11:03:59Z,2022-07-12T11:19:27Z,1,1,MERGED
blade,feat(blade): Checkbox,https://github.com/razorpay/blade/pull/544,2022-07-12T07:34:11Z,2022-07-29T08:15:24Z,145,64,MERGED
blade,feat: add TextInput Field,https://github.com/razorpay/blade/pull/678,2022-08-29T14:52:05Z,2022-09-07T11:42:56Z,12,32,MERGED
blade,"Alert PR3: add tests, more icons and final export",https://github.com/razorpay/blade/pull/670,2022-08-25T17:16:06Z,2022-08-29T06:58:38Z,6,13,MERGED
blade,feat(icons): arrow up and arrow left ,https://github.com/razorpay/blade/pull/667,2022-08-25T07:37:10Z,2022-08-26T05:33:01Z,1,2,MERGED
blade,Alert PR2: add native functionality and more stories,https://github.com/razorpay/blade/pull/666,2022-08-25T07:28:57Z,2022-08-29T07:12:27Z,8,9,MERGED
blade,feat: add `blue` variant to `Badge`,https://github.com/razorpay/blade/pull/660,2022-08-23T10:02:15Z,2022-08-26T07:15:43Z,5,9,MERGED
blade,fix: prevented dashed props in svg path,https://github.com/razorpay/blade/pull/658,2022-08-23T06:41:58Z,2022-08-23T12:39:44Z,6,3,MERGED
blade,feat: add `Alert` component,https://github.com/razorpay/blade/pull/654,2022-08-22T11:18:27Z,2022-08-29T10:28:51Z,22,13,MERGED
blade,fix(blade): radio & checkbox icon alignment,https://github.com/razorpay/blade/pull/651,2022-08-22T06:54:35Z,2022-08-22T12:48:43Z,5,6,MERGED
blade,feat(BaseInput): add `keyboard` related properties - PR4,https://github.com/razorpay/blade/pull/649,2022-08-19T11:09:24Z,2022-08-28T05:03:22Z,12,10,MERGED
blade,fix: button spinner layout,https://github.com/razorpay/blade/pull/641,2022-08-17T10:14:50Z,2022-08-17T11:18:55Z,3,3,MERGED
blade,infra: disable dependabot version update PRs,https://github.com/razorpay/blade/pull/621,2022-08-05T04:53:44Z,2022-08-05T05:47:33Z,1,1,MERGED
blade,chore: improve the button story with icons to show proper usage,https://github.com/razorpay/blade/pull/614,2022-08-04T09:57:00Z,2022-08-04T10:06:40Z,1,1,MERGED
blade,feat: add IconButton (internal),https://github.com/razorpay/blade/pull/613,2022-08-04T05:19:32Z,2022-08-17T09:54:26Z,33,19,MERGED
blade,feat(BaseInput): add BaseInput field,https://github.com/razorpay/blade/pull/602,2022-08-03T06:49:01Z,2022-09-02T06:54:47Z,36,25,MERGED
blade,"feat(Typography)!: make `Heading`, `Title`, and `Text` API consistent",https://github.com/razorpay/blade/pull/730,2022-09-29T09:44:42Z,2022-10-07T05:25:25Z,5,9,MERGED
blade,fix(BaseInput): use cursor not-allowed for disabled inputs,https://github.com/razorpay/blade/pull/723,2022-09-22T07:33:18Z,2022-09-26T07:58:36Z,4,2,MERGED
blade,feat(Code): Implementation Web & Native,https://github.com/razorpay/blade/pull/718,2022-09-20T09:23:28Z,2022-10-04T06:35:00Z,12,12,MERGED
blade,feat(components): add `PasswordField` 👀 ,https://github.com/razorpay/blade/pull/712,2022-09-16T11:03:53Z,2022-09-21T05:38:56Z,7,13,MERGED
blade,feat(Code): update API decisions for `Code` and `Text`,https://github.com/razorpay/blade/pull/711,2022-09-16T08:50:56Z,2022-09-20T09:23:43Z,3,2,MERGED
blade,build(blade): update version,https://github.com/razorpay/blade/pull/697,2022-09-07T05:09:30Z,2022-09-08T06:05:36Z,0,1,MERGED
blade,feat(icons): refresh-left icon,https://github.com/razorpay/blade/pull/691,2022-09-05T04:54:57Z,2022-09-05T05:10:04Z,1,2,MERGED
blade,chore: move pre commit checks to CI,https://github.com/razorpay/blade/pull/801,2022-10-31T11:25:07Z,2022-11-07T09:31:27Z,13,35,MERGED
blade,chore: move pre-commit checks to Ci,https://github.com/razorpay/blade/pull/800,2022-10-31T08:19:11Z,2022-10-31T11:24:48Z,2,18,CLOSED
