repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
lyne-components,[Snyk] Fix for 1 vulnerabilities,https://github.com/sbb-design-systems/lyne-components/pull/55,2020-04-30T15:26:59Z,2020-05-04T07:50:29Z,2,5,MERGED
lyne-components,[Snyk] Security upgrade yargs from 15.1.0 to 15.3.0,https://github.com/sbb-design-systems/lyne-components/pull/44,2020-04-01T13:43:46Z,2020-04-06T19:16:18Z,2,1,MERGED
lyne-components,[Snyk] Fix for 1 vulnerabilities,https://github.com/sbb-design-systems/lyne-components/pull/76,2020-05-14T08:28:25Z,2020-05-14T13:13:04Z,0,3,CLOSED
lyne-components,[Snyk] Fix for 1 vulnerabilities,https://github.com/sbb-design-systems/lyne-components/pull/75,2020-05-14T08:23:27Z,2020-05-14T13:13:04Z,0,3,CLOSED
lyne-components,[Snyk] Fix for 1 vulnerabilities,https://github.com/sbb-design-systems/lyne-components/pull/67,2020-05-04T09:31:38Z,2020-05-11T05:25:54Z,0,3,CLOSED
lyne-components,feat: add support for additional imgix Rendering API parameters,https://github.com/sbb-design-systems/lyne-components/pull/1063,2022-04-06T13:34:48Z,2022-04-25T13:15:41Z,2,2,MERGED
lyne-components,fix: typescript error,https://github.com/sbb-design-systems/lyne-components/pull/1416,2022-10-20T15:46:14Z,2022-10-21T12:40:23Z,3,1,MERGED
lyne-components,docs: fix snippets in readme,https://github.com/sbb-design-systems/lyne-components/pull/1470,2022-11-29T14:43:24Z,2022-11-29T16:02:40Z,2,1,MERGED
lyne-components,fix: typescript error,https://github.com/sbb-design-systems/lyne-components/pull/1444,2022-11-02T15:56:22Z,2022-11-03T06:19:14Z,2,1,MERGED
lyne-components,chore: mitigate phishing attacks,https://github.com/sbb-design-systems/lyne-components/pull/2011,2023-09-26T11:50:38Z,2023-09-26T13:36:04Z,2,1,MERGED
lyne-components,chore(deps): update dependency stylelint to v16,https://github.com/sbb-design-systems/lyne-components/pull/2287,2023-12-12T10:46:30Z,2023-12-12T12:02:27Z,0,0,CLOSED
lyne-components,test: a11y tree snapshot showcase,https://github.com/sbb-design-systems/lyne-components/pull/2263,2023-12-05T10:15:22Z,2024-01-08T15:06:20Z,2,2,CLOSED
lyne-components,chore(github): update 'is-pr-open' action dep from v6 => v7,https://github.com/sbb-design-systems/lyne-components/pull/2433,2024-02-21T11:43:04Z,2024-02-21T12:58:24Z,0,1,MERGED
lyne-components,docs: 📚 optimize code preview + add table of contents,https://github.com/sbb-design-systems/lyne-components/pull/2605,2024-04-22T05:09:18Z,2024-04-22T07:47:35Z,5,4,MERGED
lyne-components,style: fix mini-button mixin,https://github.com/sbb-design-systems/lyne-components/pull/2799,2024-06-20T12:32:41Z,2024-06-20T15:24:56Z,0,1,MERGED
lyne-components,feat(sbb-time-input): add size 's',https://github.com/sbb-design-systems/lyne-components/pull/3018,2024-08-22T13:47:08Z,2024-08-28T12:14:34Z,6,5,MERGED
lyne-components,refactor: prepare standalone usage of buttons,https://github.com/sbb-design-systems/lyne-components/pull/3326,2024-12-23T14:13:05Z,2025-01-28T11:13:00Z,2,5,MERGED
lyne-components,fix(sbb-datepicker-toggle): fix popover style,https://github.com/sbb-design-systems/lyne-components/pull/3386,2025-02-05T14:26:17Z,2025-02-05T16:40:54Z,0,1,MERGED
lyne-components,fix(sbb-datepicker-toggle): fix popover style,https://github.com/sbb-design-systems/lyne-components/pull/3386,2025-02-05T14:26:17Z,2025-02-05T16:40:54Z,0,1,MERGED
lyne-components,docs: fix broken docs,https://github.com/sbb-design-systems/lyne-components/pull/3666,2025-05-06T10:11:02Z,2025-05-06T11:12:53Z,1,2,MERGED
