repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
plasma,feat: add es module exports for plasma-ui,https://github.com/sberdevices/plasma/pull/341,2021-04-30T12:18:01Z,2021-05-31T14:22:29Z,22,11,MERGED
plasma,Update icons,https://github.com/sberdevices/plasma/pull/412,2021-05-26T11:46:52Z,2021-05-31T16:04:29Z,8,5,MERGED
plasma,feat: short month name in datepicker,https://github.com/sberdevices/plasma/pull/392,2021-05-14T14:37:40Z,2021-06-01T07:36:50Z,17,8,MERGED
plasma,fix(plasma-ui): Header back button outline indent,https://github.com/sberdevices/plasma/pull/503,2021-07-07T11:49:41Z,2021-07-08T10:54:05Z,1,1,CLOSED
plasma,fix: upload progress rounding,https://github.com/sberdevices/plasma/pull/891,2021-10-24T12:57:02Z,2021-10-24T13:11:06Z,2,1,CLOSED
plasma,fix: b2c preview gallery image size,https://github.com/sberdevices/plasma/pull/890,2021-10-23T14:54:24Z,2021-10-24T14:17:25Z,8,2,MERGED
plasma,feat: checkbox label type,https://github.com/sberdevices/plasma/pull/945,2021-11-19T16:09:27Z,2022-01-12T12:38:58Z,4,1,CLOSED
plasma,fix(plasma-web): prevent disabled select from opening,https://github.com/sberdevices/plasma/pull/925,2021-11-15T15:51:09Z,2021-11-18T13:05:40Z,22,2,MERGED
plasma,fix(plasma-web): prevent radiobox elipse shrinking,https://github.com/sberdevices/plasma/pull/912,2021-11-02T15:36:43Z,2021-11-03T03:24:00Z,2,1,MERGED
plasma,feat(plasma-core): Make toasts stretch more then 50% of container,https://github.com/sberdevices/plasma/pull/1037,2022-01-12T15:49:18Z,2022-01-25T07:57:51Z,31,1,MERGED
