repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
braid-design-system,chore(storybook): Add initial Storybook,https://github.com/seek-oss/braid-design-system/pull/23,2018-10-24T10:37:27Z,2018-10-24T22:52:22Z,0,1,MERGED
braid-design-system,"fix: Add initial wireframe theme, hoist propTypes in themed components",https://github.com/seek-oss/braid-design-system/pull/16,2018-10-16T06:15:01Z,2018-10-17T00:00:54Z,9,6,MERGED
braid-design-system,build: Seperate out and document release configuration,https://github.com/seek-oss/braid-design-system/pull/9,2018-10-02T22:27:25Z,2018-10-02T23:21:30Z,1,1,MERGED
braid-design-system,fix(Text): Align JobStreet large text with other themes,https://github.com/seek-oss/braid-design-system/pull/69,2018-12-07T00:50:43Z,2018-12-07T03:12:01Z,1,3,MERGED
braid-design-system,fix(ChecklistCard): Ensure divider doesn’t cover error border,https://github.com/seek-oss/braid-design-system/pull/92,2019-02-13T00:53:01Z,2019-02-13T01:12:06Z,1,1,MERGED
braid-design-system,fix(ChecklistCard): Show error border on entire row,https://github.com/seek-oss/braid-design-system/pull/90,2019-02-08T02:17:40Z,2019-02-08T05:33:32Z,1,1,MERGED
braid-design-system,feat(Actions): Add Actions component,https://github.com/seek-oss/braid-design-system/pull/139,2019-03-14T23:11:54Z,2019-03-15T03:23:20Z,3,3,MERGED
braid-design-system,fix(Checkbox): Fix tick rendering issue in IE11,https://github.com/seek-oss/braid-design-system/pull/129,2019-03-08T00:16:40Z,2019-03-08T00:24:14Z,0,2,MERGED
braid-design-system,fix: Make field text visible within dark background context,https://github.com/seek-oss/braid-design-system/pull/278,2019-07-29T06:23:45Z,2019-07-31T00:43:21Z,1,2,MERGED
braid-design-system,feat(Heading): Add level `4`,https://github.com/seek-oss/braid-design-system/pull/260,2019-07-09T03:51:12Z,2019-07-10T01:39:53Z,3,3,MERGED
braid-design-system,feat(Badge): Add component,https://github.com/seek-oss/braid-design-system/pull/258,2019-07-08T02:13:48Z,2019-07-08T04:09:23Z,0,4,MERGED
braid-design-system,feat(Toggle): Add component,https://github.com/seek-oss/braid-design-system/pull/256,2019-07-05T02:20:05Z,2019-07-05T05:15:21Z,3,4,MERGED
braid-design-system,feat(Box): Add ‘brand’ background,https://github.com/seek-oss/braid-design-system/pull/254,2019-07-03T07:06:56Z,2019-07-04T04:56:40Z,0,1,MERGED
braid-design-system,fix(TextLink): Add support for icons,https://github.com/seek-oss/braid-design-system/pull/303,2019-08-30T04:52:03Z,2019-09-03T05:08:38Z,2,9,MERGED
braid-design-system,fix: Increase line height for H4 and large text in 'seekAnz',https://github.com/seek-oss/braid-design-system/pull/301,2019-08-28T02:11:19Z,2019-08-28T03:48:31Z,0,1,MERGED
braid-design-system,fix(Typography): Update header and text tokens,https://github.com/seek-oss/braid-design-system/pull/289,2019-08-19T01:57:03Z,2019-08-22T03:46:16Z,1,6,CLOSED
braid-design-system,fix(TextLink): Style according to background color of container,https://github.com/seek-oss/braid-design-system/pull/343,2019-09-25T22:52:42Z,2019-09-26T01:28:00Z,0,2,MERGED
braid-design-system,feat(Autosuggest): Allow suggestions to be cleared,https://github.com/seek-oss/braid-design-system/pull/330,2019-09-16T05:06:05Z,2019-09-16T22:44:41Z,0,7,MERGED
braid-design-system,"Add warning, notice & promote tone",https://github.com/seek-oss/braid-design-system/pull/371,2019-10-30T07:27:43Z,2019-11-06T04:26:05Z,1,5,CLOSED
braid-design-system,fix(seekAsiaRebrand): Update colour palette,https://github.com/seek-oss/braid-design-system/pull/366,2019-10-23T02:57:45Z,2019-10-23T03:42:15Z,0,4,MERGED
braid-design-system,fix(seekAnz): Change selection colour from grey to blue,https://github.com/seek-oss/braid-design-system/pull/365,2019-10-23T00:36:31Z,2019-10-23T01:21:57Z,1,1,MERGED
braid-design-system,fix(Radio): Fix disabled styles for seekAsia & seekAsiaRebrand,https://github.com/seek-oss/braid-design-system/pull/363,2019-10-22T09:07:31Z,2019-10-22T22:19:16Z,1,4,MERGED
braid-design-system,feat: Add support for `promote` tone,https://github.com/seek-oss/braid-design-system/pull/348,2019-10-08T21:53:45Z,2019-10-09T23:20:34Z,1,4,CLOSED
braid-design-system,fix(seekAsiaRebrand): Support theming form hover colour,https://github.com/seek-oss/braid-design-system/pull/399,2019-11-11T23:49:07Z,2019-11-12T03:49:47Z,0,5,MERGED
braid-design-system,fix(Checkbox): Fix checkbox tick in IE11,https://github.com/seek-oss/braid-design-system/pull/394,2019-11-11T02:35:59Z,2019-11-11T02:49:16Z,0,1,MERGED
braid-design-system,feat(Icon): Add more components to suite,https://github.com/seek-oss/braid-design-system/pull/391,2019-11-08T03:35:51Z,2019-11-08T05:32:40Z,0,1,MERGED
braid-design-system,docs: Restructure site to better handle icons,https://github.com/seek-oss/braid-design-system/pull/390,2019-11-08T02:38:49Z,2019-11-08T03:11:22Z,0,3,MERGED
braid-design-system,feat: Add support for `promote` tone,https://github.com/seek-oss/braid-design-system/pull/380,2019-11-06T04:55:39Z,2019-11-07T02:45:38Z,0,4,MERGED
braid-design-system,"feat: Add support for icons to TextField, Dropdown & Autosuggest",https://github.com/seek-oss/braid-design-system/pull/378,2019-11-05T23:22:05Z,2019-11-06T01:00:33Z,0,1,MERGED
braid-design-system,fix: Invert weak buttons and field borders on ‘brand’ background,https://github.com/seek-oss/braid-design-system/pull/377,2019-11-05T22:21:13Z,2019-11-05T22:39:41Z,0,3,MERGED
braid-design-system,fix(Autosuggest): Fix automatic selection for async suggestions,https://github.com/seek-oss/braid-design-system/pull/376,2019-11-05T22:10:41Z,2019-11-06T03:34:44Z,0,6,MERGED
