repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
solid,docs(closes #33): show events in Storybook,https://github.com/solid-design-system/solid/pull/192,2023-06-26T06:58:10Z,2023-06-28T12:56:13Z,0,3,MERGED
solid,docs: 📚 show badges,https://github.com/solid-design-system/solid/pull/149,2023-06-12T14:35:42Z,2023-06-23T08:01:02Z,1,4,MERGED
solid,docs: improve storybook code docs A LOT,https://github.com/solid-design-system/solid/pull/145,2023-06-09T12:20:19Z,2023-06-09T12:39:48Z,0,2,MERGED
solid,ci: purge all folders after deployment (hotfix),https://github.com/solid-design-system/solid/pull/268,2023-07-26T14:42:55Z,2023-07-28T07:49:27Z,5,1,CLOSED
solid,fix: 🤔 sd-chip prevent text wrap,https://github.com/solid-design-system/solid/pull/657,2023-12-12T14:36:31Z,2023-12-13T07:14:47Z,0,1,MERGED
solid,chore: make Chromatic tests if `verify` has passed,https://github.com/solid-design-system/solid/pull/654,2023-12-12T08:54:26Z,2023-12-12T10:33:17Z,2,2,MERGED
solid,fix: output of color-calculation.js for white and black color,https://github.com/solid-design-system/solid/pull/723,2024-01-30T13:50:25Z,2024-01-30T14:53:04Z,2,1,MERGED
solid,docs: optimize code output + add TOCs,https://github.com/solid-design-system/solid/pull/881,2024-03-20T10:03:04Z,2024-03-20T20:22:43Z,3,1,MERGED
solid,docs: fix documentation for styles (closes #984),https://github.com/solid-design-system/solid/pull/989,2024-04-25T09:41:32Z,2024-04-26T14:26:59Z,1,2,MERGED
solid,fix: add missing tailwind classes,https://github.com/solid-design-system/solid/pull/1181,2024-06-27T09:47:52Z,2024-06-28T09:02:05Z,0,1,MERGED
solid,ci: update dependency dashboard,https://github.com/solid-design-system/solid/pull/1159,2024-06-19T09:28:32Z,2024-06-19T13:55:12Z,0,3,MERGED
solid,ci: update all dependencies,https://github.com/solid-design-system/solid/pull/1157,2024-06-18T09:02:14Z,2024-06-19T07:17:20Z,1,1,MERGED
solid,fix: add utilities to exports,https://github.com/solid-design-system/solid/pull/1156,2024-06-18T09:00:38Z,2024-06-21T12:47:55Z,2,1,MERGED
solid,docs: fix firefox bug in table cell example (close #911),https://github.com/solid-design-system/solid/pull/1132,2024-06-06T09:18:33Z,2024-06-06T10:15:49Z,0,1,MERGED
solid,feat: ✨ implement sd-quickfact component,https://github.com/solid-design-system/solid/pull/1188,2024-07-02T16:25:23Z,2024-07-12T08:11:31Z,12,16,CLOSED
solid,docs: add codepen button,https://github.com/solid-design-system/solid/pull/1316,2024-08-26T10:02:38Z,2024-08-26T12:47:12Z,1,2,MERGED
solid,docs: fix code previews for strings (closes #1264) [skip chromatic],https://github.com/solid-design-system/solid/pull/1272,2024-08-09T12:16:14Z,2024-08-12T20:46:03Z,0,1,MERGED
solid,chore: add comment with link to PR [skip chromatic],https://github.com/solid-design-system/solid/pull/1569,2024-10-18T06:05:53Z,2024-10-18T07:54:30Z,1,3,MERGED
solid,fix: make svgs in sd-map-marker visible on non-Chromium,https://github.com/solid-design-system/solid/pull/1567,2024-10-17T12:06:00Z,2024-10-18T10:19:27Z,1,4,MERGED
solid,docs: add disclaimer to address Storybook bug (wrong type in sd-carousel variant) ,https://github.com/solid-design-system/solid/pull/1551,2024-10-14T15:21:42Z,2024-12-19T12:31:42Z,7,1,CLOSED
solid,Add new shadow token used for copyright text on images,https://github.com/solid-design-system/solid/pull/1623,2024-11-07T11:25:59Z,2024-11-07T11:39:54Z,1,2,CLOSED
solid,chore: fix URLs in Codepens in dev Storybooks,https://github.com/solid-design-system/solid/pull/1749,2024-12-19T14:52:18Z,2024-12-19T15:16:24Z,3,3,MERGED
solid,fix: sd-radio circle appearance when checked,https://github.com/solid-design-system/solid/pull/1814,2025-01-30T12:38:40Z,2025-01-30T15:10:13Z,2,2,MERGED
solid,fix: cherry pick sd-select and sd-combobox,https://github.com/solid-design-system/solid/pull/1805,2025-01-23T12:42:20Z,2025-01-23T14:09:16Z,2,4,MERGED
solid,fix: sd-button a11y rem issue,https://github.com/solid-design-system/solid/pull/2087,2025-03-27T09:33:54Z,2025-04-01T11:41:10Z,3,6,MERGED
solid,fix: sd-carousel screenshot test regression,https://github.com/solid-design-system/solid/pull/1989,2025-03-12T15:22:06Z,2025-03-12T15:42:57Z,2,1,MERGED
solid,fix: 🐛 fix a11y for sd-list,https://github.com/solid-design-system/solid/pull/2114,2025-04-08T12:39:42Z,2025-04-16T09:09:21Z,8,8,MERGED
solid,fix: not interactive step min font size,https://github.com/solid-design-system/solid/pull/2103,2025-04-03T12:39:59Z,2025-04-04T10:20:03Z,2,2,MERGED
solid,fix: boolean properties in storybook,https://github.com/solid-design-system/solid/pull/2102,2025-04-02T18:03:52Z,2025-04-04T10:26:50Z,2,2,MERGED
solid,fix: sd-pagination button reset,https://github.com/solid-design-system/solid/pull/2363,2025-07-15T12:11:56Z,2025-07-15T12:52:24Z,2,2,MERGED
solid,feat: add type definitions and update package.json for better exports (closes #772),https://github.com/solid-design-system/solid/pull/2513,2025-09-19T08:38:50Z,2025-09-30T12:38:32Z,3,5,MERGED
