repo_name,pr_title,pr_url,created_at,closed_at,total_comments,total_commits,state
storybook,horizontal display for addon-knobs radios UI,https://github.com/storybookjs/storybook/pull/3922,2018-07-26T12:09:47Z,2018-08-02T20:47:53Z,17,1,MERGED
storybook,[onDeviceUI] Add ability to render addons in React Native,https://github.com/storybookjs/storybook/pull/3903,2018-07-20T11:26:04Z,2018-10-11T12:35:52Z,40,96,MERGED
storybook,addon-knobs radio input,https://github.com/storybookjs/storybook/pull/3902,2018-07-20T11:09:35Z,2018-07-24T07:44:20Z,11,4,CLOSED
storybook,Make addon-options work with story parameters,https://github.com/storybookjs/storybook/pull/3958,2018-08-04T22:51:21Z,2018-08-06T10:03:16Z,4,2,MERGED
storybook,[framework] add ember support,https://github.com/storybookjs/storybook/pull/4237,2018-09-27T05:24:05Z,2018-10-03T13:33:33Z,29,4,MERGED
storybook,Log network location of Storybook app on startup,https://github.com/storybookjs/storybook/pull/4232,2018-09-26T03:53:28Z,2018-09-26T17:47:16Z,4,2,MERGED
storybook,Fix broken colorpicker for knobs,https://github.com/storybookjs/storybook/pull/4222,2018-09-24T13:24:48Z,2018-09-27T06:51:31Z,5,1,MERGED
storybook,Angular cli - fix prebuild,https://github.com/storybookjs/storybook/pull/4187,2018-09-17T15:07:30Z,2018-09-18T07:04:18Z,0,4,MERGED
storybook,Cli framework choice,https://github.com/storybookjs/storybook/pull/4184,2018-09-16T13:20:24Z,2018-10-13T07:15:57Z,23,14,MERGED
storybook,Upgrade bootstrap in docs,https://github.com/storybookjs/storybook/pull/4183,2018-09-16T08:25:22Z,2018-09-18T15:44:23Z,13,5,MERGED
storybook,Fix: markdown typo,https://github.com/storybookjs/storybook/pull/4638,2018-10-30T08:07:12Z,2018-10-30T08:32:06Z,2,1,MERGED
storybook,Resources addon to dynamically add/remove css,https://github.com/storybookjs/storybook/pull/4622,2018-10-30T00:51:34Z,2018-11-26T16:23:13Z,5,69,MERGED
storybook,fix loader config for cursor images,https://github.com/storybookjs/storybook/pull/4498,2018-10-19T10:51:32Z,2018-11-05T19:51:18Z,1,2,MERGED
storybook,Fix FAQ markdown page in order to get the link to display,https://github.com/storybookjs/storybook/pull/4483,2018-10-18T18:46:55Z,2018-10-18T20:47:50Z,1,1,MERGED
storybook,chore(core): replace tty-table with cli-table3 for displaying cli message,https://github.com/storybookjs/storybook/pull/4449,2018-10-16T11:28:26Z,2018-10-16T12:01:16Z,1,1,MERGED
storybook,Expose webpackFinal extension,https://github.com/storybookjs/storybook/pull/4431,2018-10-15T14:46:42Z,2018-10-16T06:48:19Z,3,1,MERGED
storybook,Support css-modules,https://github.com/storybookjs/storybook/pull/4405,2018-10-13T04:41:29Z,2018-10-22T13:21:16Z,54,27,MERGED
storybook,[logging] better error logging for when opn fails to opn,https://github.com/storybookjs/storybook/pull/4348,2018-10-11T01:05:55Z,2018-10-12T07:51:09Z,7,2,MERGED
storybook,Tech/terminal update check,https://github.com/storybookjs/storybook/pull/4334,2018-10-09T23:58:17Z,2018-10-13T08:28:29Z,7,11,MERGED
storybook,add height and overflow fixes to addon panel styles,https://github.com/storybookjs/storybook/pull/4304,2018-10-05T23:14:48Z,2018-10-13T09:08:08Z,1,3,MERGED
storybook,Tech/overhaul ui: shortcuts,https://github.com/storybookjs/storybook/pull/4257,2018-10-01T04:01:39Z,2018-10-14T10:16:28Z,9,11,MERGED
storybook,Reject webpack-related issues,https://github.com/storybookjs/storybook/pull/4883,2018-11-28T23:49:02Z,2018-11-29T07:58:37Z,1,1,MERGED
storybook,Issue 3972 options knob,https://github.com/storybookjs/storybook/pull/4857,2018-11-26T16:11:20Z,2018-12-20T09:54:32Z,4,12,CLOSED
storybook,feat(react-native): Add ability to filter story list from React-Native,https://github.com/storybookjs/storybook/pull/4806,2018-11-19T03:58:32Z,2018-11-23T08:53:37Z,7,5,MERGED
storybook,Add-on actions: Specify sort function that compares number-like strings as number,https://github.com/storybookjs/storybook/pull/4765,2018-11-10T11:10:10Z,2018-11-13T12:54:11Z,8,2,CLOSED
storybook,added `optionsKnob` to addon-knobs,https://github.com/storybookjs/storybook/pull/4723,2018-11-06T00:12:57Z,2018-11-25T16:42:32Z,11,4,MERGED
storybook,fix(react-native): prevent the Navigation bar to stay underneath the keyboard,https://github.com/storybookjs/storybook/pull/4710,2018-11-04T05:12:59Z,2018-11-07T03:39:03Z,5,3,CLOSED
storybook,Add TypeScript CRA example,https://github.com/storybookjs/storybook/pull/5120,2018-12-29T20:21:34Z,2019-01-09T02:49:50Z,9,15,MERGED
storybook,import utils directly to prevent import cycles,https://github.com/storybookjs/storybook/pull/5107,2018-12-27T12:40:26Z,2019-01-04T19:01:31Z,2,1,MERGED
storybook,Add TypeScript CRA example,https://github.com/storybookjs/storybook/pull/5011,2018-12-16T21:29:49Z,2018-12-29T20:21:50Z,6,7,CLOSED
storybook,Fix syntax error in package.json example,https://github.com/storybookjs/storybook/pull/5279,2019-01-17T16:30:01Z,2019-01-18T11:42:22Z,2,1,MERGED
storybook,Release 5.0,https://github.com/storybookjs/storybook/pull/5222,2019-01-12T05:10:54Z,2019-01-13T06:44:41Z,11,510,MERGED
storybook,FIX highlightColor,https://github.com/storybookjs/storybook/pull/5150,2019-01-05T11:03:22Z,2019-01-05T18:40:26Z,5,1,MERGED
storybook,fix: @storybook/addon-info table width,https://github.com/storybookjs/storybook/pull/5735,2019-02-23T22:24:06Z,2019-02-24T13:46:17Z,0,1,MERGED
storybook,Custom scrollbars #5421,https://github.com/storybookjs/storybook/pull/5714,2019-02-21T21:18:25Z,2019-02-27T23:32:40Z,6,21,MERGED
storybook,FIX styling of the Addon Info propTables,https://github.com/storybookjs/storybook/pull/5474,2019-02-04T22:13:11Z,2019-02-11T23:31:45Z,4,3,MERGED
storybook,Fixed Colorblindness Emulation,https://github.com/storybookjs/storybook/pull/6297,2019-03-26T17:36:41Z,2019-03-26T22:46:54Z,5,1,MERGED
storybook,Set expanded stores to objects instead of arrays,https://github.com/storybookjs/storybook/pull/6290,2019-03-26T13:06:03Z,2019-03-26T21:25:17Z,1,1,MERGED
storybook,[bug] Fix for `addon-cssresources` till scrollbars are properly addressed,https://github.com/storybookjs/storybook/pull/6263,2019-03-25T20:19:12Z,2019-03-29T01:36:28Z,4,3,MERGED
storybook,Feature/highlight a11y violation on component,https://github.com/storybookjs/storybook/pull/6218,2019-03-21T17:00:09Z,2019-03-25T22:00:14Z,15,44,MERGED
storybook,Angular: Disable prod mode for debugging components,https://github.com/storybookjs/storybook/pull/6215,2019-03-21T11:47:39Z,2019-05-06T19:35:36Z,20,5,MERGED
storybook,fix(knobs): color type button z-index,https://github.com/storybookjs/storybook/pull/6203,2019-03-20T19:31:12Z,2019-03-20T20:13:15Z,1,1,MERGED
storybook,📜 tech preview of monaco editor + 📦sandpack,https://github.com/storybookjs/storybook/pull/6158,2019-03-18T19:15:12Z,2021-04-15T02:36:47Z,9,108,CLOSED
storybook,[bug]Error message when removing value from number knob ,https://github.com/storybookjs/storybook/pull/6043,2019-03-12T12:56:13Z,2019-03-12T21:05:37Z,0,1,MERGED
storybook,fix(a11y): remove bg color from reports,https://github.com/storybookjs/storybook/pull/6026,2019-03-11T21:05:31Z,2019-03-12T09:02:45Z,2,1,MERGED
storybook,Fix #5785 - welcome component in dark theme,https://github.com/storybookjs/storybook/pull/5998,2019-03-10T12:18:05Z,2019-03-11T08:19:47Z,1,1,MERGED
storybook,bug fix (addons/viewport): viewport iframe dimensions,https://github.com/storybookjs/storybook/pull/5993,2019-03-09T23:20:08Z,2019-03-10T00:45:35Z,2,1,MERGED
storybook,bug fix (addons/viewport): viewport iframe dimensions,https://github.com/storybookjs/storybook/pull/5992,2019-03-09T23:10:33Z,2019-03-09T23:19:07Z,1,1,CLOSED
storybook,Addon-a11y: fix design icons,https://github.com/storybookjs/storybook/pull/5991,2019-03-09T22:40:11Z,2019-03-10T09:28:39Z,1,1,MERGED
storybook,Allow for theming of the notes addon panel,https://github.com/storybookjs/storybook/pull/5922,2019-03-06T15:32:16Z,2019-03-20T16:39:40Z,11,6,MERGED
storybook,"Fix imported package for ""dark"" theme",https://github.com/storybookjs/storybook/pull/5884,2019-03-05T19:32:55Z,2019-03-06T02:42:24Z,0,1,MERGED
storybook,"Fix: SidebarItem feels ""laggy"" when clicked",https://github.com/storybookjs/storybook/pull/5850,2019-03-04T19:41:20Z,2019-03-05T00:31:58Z,3,2,MERGED
storybook,Toggle Dark Mode,https://github.com/storybookjs/storybook/pull/5841,2019-03-04T05:32:35Z,2019-03-06T00:57:43Z,5,5,CLOSED
storybook,Use emotion to style react-native ui,https://github.com/storybookjs/storybook/pull/6603,2019-04-24T04:02:49Z,2019-05-01T23:08:34Z,4,9,MERGED
storybook,Ondevice actions,https://github.com/storybookjs/storybook/pull/6594,2019-04-23T13:23:23Z,2019-05-02T02:23:08Z,14,11,MERGED
storybook,A11y design enhancements,https://github.com/storybookjs/storybook/pull/6563,2019-04-18T16:15:09Z,2019-04-25T11:31:14Z,17,23,MERGED
storybook,fix(knobs): add groupId for files knob,https://github.com/storybookjs/storybook/pull/6534,2019-04-16T07:32:02Z,2019-04-16T08:57:43Z,1,1,MERGED
storybook,Add absolute url for screenshot to show up on npm,https://github.com/storybookjs/storybook/pull/6497,2019-04-12T10:21:29Z,2019-04-12T10:23:57Z,1,169,CLOSED
storybook,Fix sorting of knobs Panels,https://github.com/storybookjs/storybook/pull/6480,2019-04-10T13:48:57Z,2019-04-11T22:22:14Z,4,3,MERGED
storybook,🛑yarn prepare errors in the logs,https://github.com/storybookjs/storybook/pull/6415,2019-04-04T09:19:01Z,2019-04-04T12:29:40Z,4,1,CLOSED
storybook,[addon: A11Y] use 'indeterminate' checkbox state for partial selected group,https://github.com/storybookjs/storybook/pull/6405,2019-04-03T19:15:42Z,2019-04-05T14:33:44Z,7,4,MERGED
storybook,Add tree view for react native,https://github.com/storybookjs/storybook/pull/6380,2019-04-02T10:44:16Z,2020-02-08T15:04:16Z,18,11,CLOSED
storybook,Add 'addParameters' to index.d.ts for angular.,https://github.com/storybookjs/storybook/pull/6929,2019-05-31T18:30:11Z,2019-06-03T06:50:43Z,1,1,MERGED
storybook,Add color inherit to StyledStoryLink,https://github.com/storybookjs/storybook/pull/6876,2019-05-24T14:47:23Z,2019-05-24T22:05:40Z,3,1,MERGED
storybook,Removed  overflow: 'auto' from addon centered that causes unnecessary scroll bar,https://github.com/storybookjs/storybook/pull/6862,2019-05-23T02:11:51Z,2019-05-24T09:34:45Z,4,3,MERGED
storybook,add ability to have multiple sections in the notes panel,https://github.com/storybookjs/storybook/pull/6861,2019-05-23T00:34:02Z,2019-06-17T10:56:28Z,2,3,MERGED
storybook,Feature/jest design changes,https://github.com/storybookjs/storybook/pull/6847,2019-05-21T10:03:01Z,2019-06-04T17:25:46Z,3,3,MERGED
storybook,Scrollbar supports theming again,https://github.com/storybookjs/storybook/pull/6794,2019-05-16T01:23:03Z,2019-05-16T04:07:19Z,1,2,MERGED
storybook,Fix the edit docs link in svelte guide,https://github.com/storybookjs/storybook/pull/6746,2019-05-08T13:57:06Z,2019-05-08T14:04:03Z,1,1,MERGED
storybook,fix: Preserve dimensions on resizing for panel,https://github.com/storybookjs/storybook/pull/6696,2019-05-01T00:52:16Z,2019-05-06T08:35:17Z,5,1,MERGED
storybook,Fix unstretched preview background wrapper,https://github.com/storybookjs/storybook/pull/7173,2019-06-22T11:47:42Z,2019-06-23T20:02:57Z,1,1,MERGED
storybook,[Documentation] Point Storybook new version cli changelog link to master,https://github.com/storybookjs/storybook/pull/7166,2019-06-21T18:31:59Z,2019-06-22T00:23:23Z,3,1,CLOSED
storybook,Tech/improve bootstrap list,https://github.com/storybookjs/storybook/pull/6993,2019-06-06T06:51:31Z,2019-06-16T20:31:30Z,2,6,MERGED
