VRT　COMMENT,Detection,
https://github.com/storybookjs/storybook/pull/20712#discussion_r1083565846,Focus Does Not Work,
https://github.com/storybookjs/storybook/pull/20712#discussion_r1083724374,OutOfScope: Duplicates,
https://github.com/ni/nimble/pull/966#discussion_r1074023214,Size of Page/Header Changed,
https://github.com/guardian/dotcom-rendering/pull/6954#issuecomment-1383873154,OutOfScope: Cannot access,
https://github.com/GCTC-NTGC/gc-digital-talent/pull/5740#issuecomment-1440357711,Text Size Changed,
https://github.com/storybookjs/storybook/pull/20995#issuecomment-1426807019,OutOfScope: Duplicates,
https://github.com/guardian/dotcom-rendering/pull/7128#issuecomment-1422355751,Layout Shifted,
https://github.com/guardian/dotcom-rendering/pull/7128#issuecomment-1422375286,OutOfScope: Duplicates,
https://github.com/guardian/dotcom-rendering/pull/7128#issuecomment-1422416345,OutOfScope: Duplicates,
https://github.com/ithaka/pharos/pull/503#discussion_r1146494323,Border Disappeared,
https://github.com/adobe/react-spectrum/pull/4243#issuecomment-1481577294,OutOfScope: New Story,
https://github.com/NeurodataWithoutBorders/nwb-guide/pull/74#issuecomment-1486132202,Image Replaced,Layout Changed
https://github.com/NeurodataWithoutBorders/nwb-guide/pull/74#issuecomment-1486151336,OutOfScope: Duplicates,
https://github.com/seek-oss/braid-design-system/pull/1240#discussion_r1127264221,Text Disappeared,New Contents
https://github.com/contentful/forma-36/pull/2436#issuecomment-1482782327,Layout Shifted,
https://github.com/contentful/forma-36/pull/2436#issuecomment-1485049856,OutOfScope: Duplicates,
https://github.com/contentful/forma-36/pull/2430#issuecomment-1468376389,Undefined/Wrong State is Shown,
https://github.com/sbb-design-systems/lyne-components/pull/1691#discussion_r1155937820,OutOfScope: New Story,
https://github.com/livechat/design-system/pull/518#issuecomment-1513081507,Default State is Changed,
https://github.com/coder/coder/pull/7210#issuecomment-1523711377,OutOfScope: New Story,
https://github.com/coder/coder/pull/7210#issuecomment-1523829146,OutOfScope: Duplicates,
https://github.com/forkfacts/forkfacts-v2/pull/26#discussion_r1156498711,OutOfScope: Cannot access,
https://github.com/storybookjs/storybook/pull/22336#issuecomment-1576578560,OutOfScope: New Story,
https://github.com/ForgeRock/forgerock-web-login-framework/pull/121#issuecomment-1582606514,OutOfScope: New Story,
https://github.com/ForgeRock/forgerock-web-login-framework/pull/121#issuecomment-1582829867,OutOfScope: Duplicates,
https://github.com/danskernesdigitalebibliotek/dpl-design-system/pull/239#issuecomment-1590831197,OutOfScope: Duplicates,
https://github.com/NeurodataWithoutBorders/nwb-guide/pull/219#issuecomment-1582854272,Contents Disappeared,
https://github.com/input-output-hk/lace/pull/128#discussion_r1235304399,Box Color Changed,
https://github.com/input-output-hk/lace/pull/128#discussion_r1235309846,Box Color Changed,
https://github.com/contentful/forma-36/pull/2498#issuecomment-1578506842,Box Color Changed,
https://github.com/contentful/forma-36/pull/2498#issuecomment-1578517673,OutOfScope: Duplicates,
https://github.com/ni/nimble/pull/1335#discussion_r1263879886,OutOfScope: New Story,
https://github.com/Sage-Bionetworks/synapse-web-monorepo/pull/319#issuecomment-1597866592,Box Size Changed,
https://github.com/chromaui/addon-visual-tests/pull/22#issuecomment-1675592946,OutOfScope: Not VRT Discussion,
https://github.com/contentful/forma-36/pull/2520#issuecomment-1624983316,Layout Shifted,
https://github.com/isomerpages/isomercms-frontend/pull/1398#issuecomment-1672650566,OutOfScope: New Story,
https://github.com/isomerpages/isomercms-frontend/pull/1435#issuecomment-1689636196,OutOfScope: New Story,
https://github.com/isomerpages/isomercms-frontend/pull/1396#issuecomment-1672651113,OutOfScope: New Story,
https://github.com/Esri/calcite-design-system/pull/7568#issuecomment-1689209740,OutOfScope: New Story,
https://github.com/Esri/calcite-design-system/pull/7568#issuecomment-1690111304,OutOfScope: Duplicates,
https://github.com/epicmaxco/vuestic-ui/pull/3729#discussion_r1303995244,Undefined/Wrong State is Shown,
https://github.com/NeurodataWithoutBorders/nwb-guide/pull/305#issuecomment-1686618217,New Contents,
https://github.com/solid-design-system/solid/pull/318#issuecomment-1661736821,Text Color Changed,
https://github.com/guardian/dotcom-rendering/pull/8478#issuecomment-1665498143,Size of Page/Header Changed,
https://github.com/guardian/dotcom-rendering/pull/8478#issuecomment-1665506423,OutOfScope: Duplicates,
https://github.com/adobe/react-spectrum/pull/4972#discussion_r1306204926,New Contents,
https://github.com/guardian/dotcom-rendering/pull/8633#issuecomment-1697519138,Default State is Changed,
https://github.com/chromaui/addon-visual-tests/pull/69#discussion_r1314789164,OutOfScope: New Story,
https://github.com/storybookjs/storybook/pull/24146#discussion_r1332517627,Not sure,
https://github.com/bitwarden/clients/pull/6225#discussion_r1336278028,Layout Changed,
https://github.com/isomerpages/isomercms-frontend/pull/1620#issuecomment-1780379051,OutOfScope: New Story,
https://github.com/Esri/calcite-design-system/pull/8055#issuecomment-1793344331,Size of Page/Header Changed,
https://github.com/recharts/recharts/pull/3908#issuecomment-1785720245,Contents of Text Changed,
https://github.com/recharts/recharts/pull/3908#issuecomment-1785791090,Layout Shifted,
https://github.com/Esri/calcite-design-system/pull/8066#issuecomment-1781507882,OutOfScope: New Story,
https://github.com/navikt/aksel/pull/2395#discussion_r1365062177,OutOfScope: Cannot access,
https://github.com/storybookjs/storybook/pull/24395#issuecomment-1752448257,OutOfScope: Not VRT Discussion,
https://github.com/kufu/smarthr-ui/pull/3975#issuecomment-1807527354,OutOfScope: New Story,
https://github.com/kufu/smarthr-ui/pull/3975#issuecomment-1809757221,OutOfScope: New Story,
https://github.com/guardian/support-frontend/pull/5429#issuecomment-1801905875,Contents of Text Changed,
https://github.com/coder/coder/pull/10857#issuecomment-1828368632,Box Color Changed,
https://github.com/GCTC-NTGC/gc-digital-talent/pull/8405#issuecomment-1793218502,Image Adjusted,
https://github.com/daydule/frontend/pull/71#discussion_r1412686754,OutOfScope: New Story,
https://github.com/sbb-design-systems/lyne-components/pull/2255#discussion_r1414961306,Size of Page/Header Changed,
https://github.com/guardian/dotcom-rendering/pull/9792#discussion_r1417022793,Text Disappeared,
https://github.com/adobe/spectrum-css/pull/2424#issuecomment-1948839059,OutOfScope: New Story,
https://github.com/AmazeeLabs/silverback-template/pull/132#issuecomment-1910187080,OutOfScope: Chromatic Error,
https://github.com/AmazeeLabs/silverback-template/pull/132#issuecomment-1910451341,OutOfScope: Duplicates,
https://github.com/adobe/react-spectrum/pull/5705#issuecomment-1900904418,Wrong Border Thickness,
https://github.com/adobe/react-spectrum/pull/5705#issuecomment-1901148987,OutOfScope: Duplicates,
https://github.com/adobe/react-spectrum/pull/5705#issuecomment-1901569192,New Border Appeared,
https://github.com/adobe/react-spectrum/pull/5705#issuecomment-1902645890,OutOfScope: Duplicates,
https://github.com/recharts/recharts/pull/4062#issuecomment-1899349398,Text Disappeared,
https://github.com/Esri/calcite-design-system/pull/8561#issuecomment-1886360767,Not sure,
https://github.com/Esri/calcite-design-system/pull/8561#issuecomment-1887960719,OutOfScope: Duplicates,
https://github.com/kufu/smarthr-ui/pull/4182#discussion_r1450221819,Box Size Changed,
